Type_x,ID,SedRed,Cost,Duck,Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type_y
ICMO,933,13.300999999999998,138568.997,0,1,900,22243,22245,0,0,1310.27098876,15706,1054,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,2356.0,159613.0,1,933,850,4459300.12161,387.26434642199996,377.0,399.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,16140.0001666,1310.26860021,1310.26860021,1,1,1,1,1,1,1,1,4,ICMO
ICMO,934,5.016,52270.919,0,1,900,22245,22244,0,0,494.25968801,15707,1054,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,39931.0,158584.0,1,934,850,4459300.12161,387.26434642199996,377.0,399.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,16140.0001666,492.89348009,492.89348009,1,1,1,1,1,1,1,1,4,ICMO
ICMO,935,5.649,58861.524000000005,0,2,1022,22249,19059,0,0,556.578669606,15710,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,71315.0,156877.0,1,935,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,555.2366310919999,555.2366310919999,1,1,1,1,1,1,1,1,4,ICMO
ICMO,936,13.321,138779.454,0,2,1022,22251,22249,0,0,1312.26102208,15712,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,24943.0,157822.0,1,936,972,15040700.0168,389.403378832,377.0,401.0,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,38180.0002135,1312.17885556,1312.17885556,1,1,1,1,1,1,1,1,4,ICMO
ICMO,937,0.774,8345.37,0,1,920,22255,22257,0,0,78.9115599342,15715,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,4395.0,162314.0,1,937,870,5615300.13242,389.82971524199996,381.0,412.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,14700.0000982,78.6300971726,78.6300971726,1,1,1,1,1,1,1,1,4,ICMO
ICMO,938,8.591000000000001,89515.23300000001,0,1,901,22257,22254,0,0,846.431859236,15716,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,6295.0,161845.0,2,938,851,4262999.93896,384.322988506,378.0,394.0,850,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,13619.9996469,848.1219212110001,848.1219212110001,1,1,1,1,1,1,1,1,4,ICMO
ICMO,939,5.718,59575.123,0,1,920,22253,22260,0,0,563.326263486,15720,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,3126.0,162847.0,1,939,870,5615300.13242,389.82971524199996,381.0,412.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,14700.0000982,565.615953497,565.615953497,1,1,1,1,1,1,1,1,4,ICMO
ICMO,940,2.7969999999999997,29284.64,0,1,920,22260,22255,0,0,276.90764675599996,15721,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,52.0,162494.0,1,940,870,5615300.13242,389.82971524199996,381.0,412.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,14700.0000982,275.90962094,275.90962094,1,1,1,1,1,1,1,1,4,ICMO
ICMO,941,5.5120000000000005,57438.287000000004,0,1,897,22263,22267,0,0,543.1209173340001,15728,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,2043.0,162812.0,1,941,847,4460300.00771,390.059390624,379.0,405.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,17840.0000474,544.218370219,544.218370219,1,1,1,1,1,1,1,1,4,ICMO
ICMO,942,4.046,42195.914000000004,0,1,897,22267,22269,0,0,398.993161219,15729,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,2433.0,162416.0,1,942,847,4460300.00771,390.059390624,379.0,405.0,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,17840.0000474,400.74004365800005,400.74004365800005,1,1,1,1,1,1,1,1,4,ICMO
