Type,ID,SedRed,Cost,Duck
WCMO,168,29.064,8161.842,9.21
WCMO,169,2.401,703.288,2.701
WCMO,170,4.63,1072.727,3.333
WCMO,171,3.619,838.239,2.948
WCMO,172,7.943,2228.377,4.815
WCMO,173,18.888,4384.692,6.744
WCMO,174,6.873,12013.657,4.551
WCMO,175,3.349,16402.839,2.698
WCMO,177,16.335,4584.737,6.966
WCMO,178,3.006,843.165,2.989
WCMO,179,30.416,8573.183,9.536
WCMO,180,49.992,92737.991,12.188
WCMO,181,59.873,84907.312,13.31
WCMO,182,4.765,21923.786,3.745
WCMO,183,3.134,861.513,3.043
WCMO,184,105.55,76529.624,17.666
WCMO,185,19.895,15474.172,7.693
WCMO,186,3.675,11010.221,3.289
WCMO,187,6.58,23504.702,4.397
WCMO,188,51.367,51481.695,12.33
WCMO,189,182.996,113401.939,23.431
WCMO,190,8.76,17408.843,5.1
WCMO,191,6.705,11843.374,4.459
WCMO,192,12.08,13322.286,5.992
WCMO,193,14.272,13925.641,6.519
WCMO,194,7.646,9077.584,4.902
WCMO,195,120.592,100273.174,19.042
WCMO,196,4.75,11914.994,3.88
WCMO,197,26.451,25671.342,9.13
WCMO,198,11.179,8216.195,5.965
WCMO,199,17.81,15096.821,7.489
WCMO,200,3.014,5861.985,3.081
WCMO,201,2.815,5809.665,2.996
WCMO,202,6.194,6771.835,4.419
WCMO,203,207.381,205403.068,25.362
WCMO,204,9.901,7832.729,5.57
WCMO,205,10.548,8017.953,5.726
WCMO,206,2.611,5746.685,2.853
WCMO,207,7.269,7079.507,4.765
WCMO,208,3.514,6004.929,3.32
WCMO,209,15.135,9330.927,6.889
WCMO,210,18.401,10265.935,7.592
WCMO,211,5.084,6454.35,3.981
WCMO,212,4.168,11145.717,3.529
WCMO,213,3.474,5895.305,3.126
WCMO,214,4.408,11211.693,3.633
WCMO,215,2.788,5718.233,2.8
WCMO,216,20.103,20188.867,7.554
WCMO,217,34.493,13914.671,9.89
WCMO,218,56.132,25476.422,12.978
WCMO,219,2.24,10904.144,2.588
WCMO,220,23.993,11195.005,8.225
WCMO,221,7.789,7008.013,4.688
WCMO,222,4.045,16461.311,3.393
WCMO,223,17.822,14903.319,7.333
WCMO,224,12.024,3306.972,6.006
WCMO,226,6.749,1893.25,4.446
WCMO,227,40.171,26575.935,10.849
WCMO,228,2.195,615.528,2.535
WCMO,229,2.746,770.245,2.837
WCMO,230,56.442,101139.411,12.908
WCMO,231,12.764,16964.568,6.192
WCMO,232,3.924,6535.797,3.41
WCMO,233,2.734,10751.541,2.834
WCMO,234,8.185,13305.436,4.91
WCMO,235,3.987,11573.38,3.454
WCMO,236,6.316,13445.235,4.365
WCMO,237,9.886,7783.96,5.467
WCMO,238,3.544,11398.323,3.256
WCMO,239,8.768,18626.282,5.144
WCMO,240,30.434,36618.717,9.601
WCMO,241,10.909,19512.283,5.745
WCMO,242,16.011,23237.608,6.888
WCMO,243,265.763,272640.318,28.418
WCMO,244,4.744,7272.234,3.596
WCMO,245,3.263,6214.326,2.99
WCMO,246,8.963,12077.943,4.621
WCMO,247,8.573,16987.461,4.507
WCMO,248,49.877,92019.923,11.641
WCMO,249,10.047,2819.022,5.405
WCMO,250,193.673,55986.009,21.796
WCMO,251,294.505,85789.612,26.953
WCMO,252,32.766,32824.324,8.89
WCMO,253,15.047,21529.759,5.983
WCMO,254,30.622,28316.387,8.529
WCMO,255,71.331,48372.572,13.108
WCMO,256,3.203,6341.696,2.67
WCMO,257,4.565,7278.582,3.498
WCMO,258,5.379,8747.552,3.74
WCMO,259,2.413,667.646,2.539
WCMO,260,3.261,5840.388,3.051
WCMO,261,3.043,10784.2,2.944
WCMO,262,5.882,16516.156,4.097
WCMO,263,8.018,7067.267,4.774
WCMO,264,9.864,25073.363,5.457
WCMO,265,125.384,138684.11,19.486
WCMO,266,2.294,10925.755,2.617
WCMO,267,9.689,10161.725,5.383
WCMO,268,184.307,187617.177,23.617
WCMO,269,2.208,606.797,2.571
WCMO,286,9.546,13855.251,5.33
WCMO,287,3.424,5941.26,3.186
WCMO,288,2.126,598.505,2.544
WCMO,289,2.342,659.123,2.672
WCMO,290,31.831,23764.304,9.758
WCMO,291,45.81,56085.761,11.826
WCMO,299,7.782,7248.927,5.123
WCMO,300,4.122,14066.913,3.474
WCMO,301,31.946,33991.974,9.289
WCMO,302,4.126,8111.957,3.468
WCMO,303,4.964,11612.137,3.423
WCMO,304,5.683,7903.67,3.657
WCMO,305,6.56,12131.012,3.926
WCMO,306,229.827,191556.497,23.648
WCMO,307,26.193,30308.936,8.791
WCMO,308,13.945,3235.029,5.801
WCMO,309,12.927,13627.62,6.171
WCMO,310,38.14,35715.01,10.594
WCMO,311,3.328,10933.535,3.128
WCMO,312,48.661,23677.036,12.017
WCMO,313,21.731,38511.852,8.021
WCMO,314,19.11,14436.343,6.804
WCMO,316,5.428,18037.976,4.162
WCMO,317,208.478,154267.025,24.64
WCMO,318,5.646,24249.367,4.083
WCMO,319,2.975,10778.715,2.961
WCMO,320,2.168,10896.411,2.565
WCMO,321,2.003,5852.67,2.496
