Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
1,900,22241,22242,0,0,2028.60339340000,15705,1053,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,932,24718.00000000000,159633.00000000000,2,932,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,2031.85704408000,2031.85704408000,1,1,1,1,1,1,1,1,4,ICMO
1,900,22243,22245,0,0,1310.27098876000,15706,1054,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,933,2356.00000000000,159613.00000000000,1,933,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,1310.26860021000,1310.26860021000,1,1,1,1,1,1,1,1,4,ICMO
1,900,22245,22244,0,0,494.25968801000,15707,1054,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,934,39931.00000000000,158584.00000000000,1,934,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,492.89348009000,492.89348009000,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22249,19059,0,0,556.57866960600,15710,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,935,71315.00000000000,156877.00000000000,1,935,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,555.23663109200,555.23663109200,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22251,22249,0,0,1312.26102208000,15712,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,936,24943.00000000000,157822.00000000000,1,936,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,1312.17885556000,1312.17885556000,1,1,1,1,1,1,1,1,4,ICMO
1,920,22255,22257,0,0,78.91155993420,15715,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,937,4395.00000000000,162314.00000000000,1,937,870,5615300.13242000000,389.82971524200,381.00000000000,412.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,14700.00009820000,78.63009717260,78.63009717260,1,1,1,1,1,1,1,1,4,ICMO
1,901,22257,22254,0,0,846.43185923600,15716,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,938,6295.00000000000,161845.00000000000,2,938,851,4262999.93896000000,384.32298850600,378.00000000000,394.00000000000,850,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,13619.99964690000,848.12192121100,848.12192121100,1,1,1,1,1,1,1,1,4,ICMO
1,920,22253,22260,0,0,563.32626348600,15720,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,939,3126.00000000000,162847.00000000000,1,939,870,5615300.13242000000,389.82971524200,381.00000000000,412.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,14700.00009820000,565.61595349700,565.61595349700,1,1,1,1,1,1,1,1,4,ICMO
1,920,22260,22255,0,0,276.90764675600,15721,1147,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,940,52.00000000000,162494.00000000000,1,940,870,5615300.13242000000,389.82971524200,381.00000000000,412.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,14700.00009820000,275.90962094000,275.90962094000,1,1,1,1,1,1,1,1,4,ICMO
1,897,22263,22267,0,0,543.12091733400,15728,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,941,2043.00000000000,162812.00000000000,1,941,847,4460300.00771000000,390.05939062400,379.00000000000,405.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,17840.00004740000,544.21837021900,544.21837021900,1,1,1,1,1,1,1,1,4,ICMO
1,897,22267,22269,0,0,398.99316121900,15729,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,942,2433.00000000000,162416.00000000000,1,942,847,4460300.00771000000,390.05939062400,379.00000000000,405.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,17840.00004740000,400.74004365800,400.74004365800,1,1,1,1,1,1,1,1,4,ICMO
1,897,22269,22254,0,0,1051.17075861000,15730,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,943,3601.00000000000,161879.00000000000,2,943,847,4460300.00771000000,390.05939062400,379.00000000000,405.00000000000,851,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,17840.00004740000,1049.07415524000,1049.07415524000,1,1,1,1,1,1,1,1,4,ICMO
1,901,22254,22240,0,0,1787.12648259000,15731,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,944,4054.00000000000,160763.00000000000,1,944,851,4262999.93896000000,384.32298850600,378.00000000000,394.00000000000,850,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,13619.99964690000,1785.86280599000,1785.86280599000,1,1,1,1,1,1,1,1,4,ICMO
1,900,22240,22242,0,0,1410.07581501000,15732,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,945,15123.00000000000,159452.00000000000,3,945,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,1411.63838994000,1411.63838994000,1,1,1,1,1,1,1,1,4,ICMO
1,900,22242,22244,0,0,283.05976386300,15733,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,946,39926.00000000000,158576.00000000000,1,946,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,282.41774494300,282.41774494300,1,1,1,1,1,1,1,1,4,ICMO
1,900,22244,22270,0,0,2058.72186991000,15734,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,947,44855.00000000000,157471.00000000000,2,947,850,4459300.12161000000,387.26434642200,377.00000000000,399.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,16140.00016660000,2061.62887208000,2061.62887208000,1,1,1,1,1,1,1,1,4,ICMO
2,873,22271,22272,0,0,730.29007942100,15735,1156,32024CD46,32,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,948,71684.00000000000,156211.00000000000,2,948,823,7904499.98289000000,379.66102852800,362.00000000000,395.00000000000,683,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,21980.00004400000,733.01290124900,733.01290124900,1,1,1,1,1,1,1,1,4,ICMO
3,1046,19059,22289,0,0,642.18896199800,15751,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,949,27.00000000000,168408.00000000000,1,949,996,5949299.90015000000,393.25606373900,387.00000000000,404.00000000000,972,Upper Cobb,Le Sueur,LS AB UG,0.06000000000,LES,45,1,26,UL,1,AB,17920.00025120000,640.01215932300,640.01215932300,1,1,1,1,1,1,1,1,4,ICMO
3,1046,22289,22291,0,0,1042.93402158000,15753,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,950,6061.00000000000,167562.00000000000,1,950,996,5949299.90015000000,393.25606373900,387.00000000000,404.00000000000,972,Upper Cobb,Le Sueur,LS AB UG,0.06000000000,LES,45,1,26,UL,1,AB,17920.00025120000,1044.23841568000,1044.23841568000,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22291,22293,0,0,305.91939165900,15755,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,951,6464.00000000000,166817.00000000000,2,951,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,307.29070006800,307.29070006800,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22293,22295,0,0,950.78951526000,15757,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,952,8210.00000000000,166146.00000000000,1,952,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,950.19985967000,950.19985967000,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22295,22297,0,0,567.81965551200,15759,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,953,10598.00000000000,165279.00000000000,1,953,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,567.25690350200,567.25690350200,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22297,22299,0,0,925.33465954000,15761,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,954,271.00000000000,164508.00000000000,1,954,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,926.76579129800,926.76579129800,1,1,1,1,1,1,1,1,4,ICMO
2,1022,22299,22251,0,0,5171.33774763000,15762,1137,32085CD28,32,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,104,21,6,MSUWRC,1993,955,22588.00000000000,161324.00000000000,1,955,972,15040700.01680000000,389.40337883200,377.00000000000,401.00000000000,823,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,45,1,26,UL,1,AB,38180.00021350000,5185.78552319000,5185.78552319000,1,1,1,1,1,1,1,1,4,ICMO
3,935,19059,22373,0,0,85.53372122560,15816,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,956,12.00000000000,151206.00000000000,1,956,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,85.91006743690,85.91006743690,1,1,1,1,1,1,1,1,1,ICMO
3,935,22373,22371,0,0,201.57830571100,15817,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,957,19.00000000000,151056.00000000000,1,957,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,202.46483778800,202.46483778800,1,1,1,1,1,1,1,1,1,ICMO
1,974,22407,22403,0,0,328.75329677700,15848,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,958,11071.00000000000,153226.00000000000,1,958,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,330.20757270700,330.20757270700,1,1,1,1,1,1,1,1,1,ICMO
1,974,19059,22409,0,0,830.45113697000,15850,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,959,9760.00000000000,154298.00000000000,1,959,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,830.44000780400,830.44000780400,1,1,1,1,1,1,1,1,1,ICMO
1,974,22409,22407,0,0,672.44027783200,15851,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,960,173.00000000000,153718.00000000000,1,960,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,673.01720559600,673.01720559600,1,1,1,1,1,1,1,1,1,ICMO
1,974,22395,22421,0,0,1638.97285858000,15864,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,961,14922.00000000000,151551.00000000000,1,961,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,1637.18324179000,1637.18324179000,1,1,1,1,1,1,1,1,1,ICMO
3,935,22424,19059,0,0,620.61580274700,15867,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,962,19327.00000000000,144025.00000000000,1,962,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,620.77627764400,620.77627764400,1,1,1,1,1,1,1,1,1,ICMO
3,935,22428,22424,0,0,265.03218506500,15871,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,963,18687.00000000000,144573.00000000000,1,963,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,266.17381747500,266.17381747500,1,1,1,1,1,1,1,1,1,ICMO
3,935,22430,22428,0,0,677.95560668300,15873,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,964,18033.00000000000,145062.00000000000,1,964,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,679.12969338400,679.12969338400,1,1,1,1,1,1,1,1,1,ICMO
3,935,22432,22430,0,0,910.50957511100,15875,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,965,17489.00000000000,145957.00000000000,1,965,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,914.08562796300,914.08562796300,1,1,1,1,1,1,1,1,1,ICMO
3,935,22459,22432,0,0,1520.91519285000,15902,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,966,13938.00000000000,147673.00000000000,1,966,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,1519.61928474000,1519.61928474000,1,1,1,1,1,1,1,1,1,ICMO
3,935,22465,22459,0,0,341.08000545500,15908,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,967,12938.00000000000,148552.00000000000,1,967,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,339.88536356200,339.88536356200,1,1,1,1,1,1,1,1,1,ICMO
3,935,22371,22469,0,0,363.43508573800,15912,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,968,4581.00000000000,150776.00000000000,1,968,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,365.03156126100,365.03156126100,1,1,1,1,1,1,1,1,1,ICMO
1,880,22479,19059,0,0,683.24458867400,15922,1066,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,969,42385.00000000000,146651.00000000000,1,969,830,8944000.00763000000,368.84243068000,355.00000000000,379.00000000000,754,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,27899.99992520000,682.32738652400,682.32738652400,1,1,1,1,1,1,1,1,1,ICMO
3,935,22469,22488,0,0,859.18884551600,15928,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,970,4711.00000000000,150445.00000000000,1,970,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,858.34484884500,858.34484884500,1,1,1,1,1,1,1,1,1,ICMO
3,935,22488,22465,0,0,1603.99409210000,15929,943,32028JD8,32,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,23,35,MSUWRC,1993,971,9479.00000000000,149418.00000000000,1,971,885,18553799.89350000000,368.43443391700,356.00000000000,386.00000000000,778,Upper Le Sueur,Le Sueur,LS AB UG,0.06000000000,LES,43,1,24,LC,1,AB,41260.00015970000,1608.61187896000,1608.61187896000,1,1,1,1,1,1,1,1,1,ICMO
1,974,22403,22490,0,0,301.25009369200,15931,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,972,11086.00000000000,152851.00000000000,1,972,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,302.58123795300,302.58123795300,1,1,1,1,1,1,1,1,1,ICMO
1,974,22490,22395,0,0,421.65488854200,15932,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,973,330.00000000000,152441.00000000000,1,973,924,5974299.98753000000,375.58199286900,369.00000000000,388.00000000000,869,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,17699.99964070000,423.51466520000,423.51466520000,1,1,1,1,1,1,1,1,1,ICMO
1,880,22491,22479,0,0,1133.76238193000,15934,1066,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,974,42135.00000000000,147541.00000000000,1,974,830,8944000.00763000000,368.84243068000,355.00000000000,379.00000000000,754,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,27899.99992520000,1131.42479293000,1131.42479293000,1,1,1,1,1,1,1,1,1,ICMO
2,851,22527,22528,0,0,435.00892874100,15935,893,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,975,8459.00000000000,148216.00000000000,1,975,801,7569399.94106000000,378.47555949000,363.00000000000,393.00000000000,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05000000000,LES,43,1,24,UL,1,AB,23759.99972850000,434.71710170600,434.71710170600,1,1,1,1,1,1,1,1,1,ICMO
