NCMO ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L_AtanThta,height_m,arcMapA,SA_AtanTht,Load_pTex,loadTrap,Migration,Retreat,Erate,mean_Slope,aspect,VegComb10,probVeg,Prk,Hal,Pal,FPtrap,autoTEmeas,Ecode,Einterp,EextrapAll,VeMeas,VeAll,VeAll_Veg,Shape_Length,Shape_Area
1,MAP,2,50,836,,Le Sueur,Upper Maple,Map AB UG,,1,MAP,28,52,4.52,457,233,19,11,0,9999,9999,27,E,1,0.95,0,0,0,1,0,3,9999,0,0,16,16,160.3618673,456.8767344
526,COB,2,35,483,,Le Sueur,Upper Cobb,Cobb Upper Cobb,,1,COB,27,38,8.33,522,313,26,12,0,0.37,9999,31,NE,1,1,0,0,0,1,38,3,9999,0,0,22,22,156.0033,522.0262498
528,MAP,3,13,612,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,53,8.86,770,470,15,11,0.02,0.07,0.04,31,S,1,0.86,0,0,1,1,0,1,0.06,0,19,19,19,178.3930301,770.1669233
607,MAP,3,10,336,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,296,25.27,9563,7472,962,886,0.14,0.15,0.11,38,SW,0,0.13,0,0,0,1,0,1,0.13,0,822,822,822,876.0379764,9563.190876
608,MAP,3,10,336,,Le Sueur,Lower Maple,Map btwn gauges,,3,MAP,19,194,31.34,9308,6088,249,233,0.14,0,0.04,33,E,0,0.16,0,0,0,1,0,1,0.13,0,213,213,213,598.1929883,9308.156819
609,COB,3,7,396,,Le Sueur,Little Cobb,Cobb Little Cobb,,3,COB,16,61,11.49,1094,699,57,47,0,0,9999,33,NW,1,0.98,0,0,0,1,0,3,9999,0,0,49,49,267.8283251,1093.61165
610,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,116,12.98,2422,1501,158,134,0,0.24,9999,32,NW,1,0.9,0,0,0,1,0,3,9999,0,0,135,135,428.1763418,2422.128988
611,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,211,15.14,4933,3202,337,293,0,0.24,9999,33,E,1,0.94,0,0,0,1,0,3,9999,0,0,288,288,712.1867194,4932.906833
612,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,25,3.91,207,99,10,5,0,9999,9999,25,SW,1,0.95,0,0,0,1,0,3,9999,0,0,9,9,84.00190002,207.0100499
613,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,257,14.46,5850,3711,391,337,0,0.24,9999,32,E,1,0.89,0,0,0,1,0,3,9999,0,0,334,334,954.0229002,5850.269247
614,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,163,13.72,3797,2235,235,201,0,9999,9999,30,NW,1,0.94,0,0,0,1,0,3,9999,0,0,201,201,601.788266,3797.197284
615,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,100,11.85,2126,1187,125,104,0,9999,9999,29,NW,1,0.89,0,0,0,1,0,3,9999,0,0,107,107,394.8734643,2126.268918
616,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,228,14.34,5517,3273,345,297,0,0.2,9999,31,E,1,0.92,0,0,0,1,0,3,9999,0,0,295,295,912.0252002,5517.253197
617,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,28,5.77,297,162,17,11,0,9999,9999,29,NW,1,0.89,0,0,0,1,0,3,9999,0,0,15,15,120.0016,297.0066
618,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,121,7.26,1476,876,92,67,0,0.09,9999,31,NW,1,0.89,0,0,0,1,0,3,9999,0,0,79,79,468.0025001,1476.01485
619,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,110,7.46,1495,821,86,63,0,9999,9999,29,E,1,0.94,0,0,0,1,0,3,9999,0,0,74,74,434.8672833,1494.93799
620,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,204,12.97,4022,2641,278,235,0,9999,9999,33,SW,1,0.9,0,0,0,1,0,3,9999,0,0,238,238,783.3057675,4021.888582
621,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,140,12,2763,1685,177,148,0,0.11,9999,31,S,1,0.88,0,0,0,1,0,3,9999,0,0,152,152,497.8634407,2762.640967
622,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,135,11.65,2107,1570,165,137,0,0.11,9999,37,W,0,0.87,0,0,0,1,0,3,9999,0,0,141,141,461.2087629,2107.432956
623,COB,3,10,377,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,392,16.25,9454,6375,671,589,0,0.05,9999,34,S,1,0.89,0,0,0,1,0,3,9999,0,0,574,574,1467.699373,9454.294797
624,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,21,6.31,283,131,14,9,0,9999,9999,25,NE,1,0.86,0,0,0,1,0,3,9999,0,0,12,12,107.0893853,282.9686585
625,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,40,6.96,624,275,29,21,0,9999,9999,24,SE,1,0.86,0,0,0,1,0,3,9999,0,0,25,25,159.5418911,624.2679161
626,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,24,8.28,372,198,21,16,0,9999,9999,28,NW,1,0.72,0,0,0,1,0,3,9999,0,0,18,18,93.69178497,371.852048
627,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,29,10.7,482,312,33,27,0,0.19,9999,33,NE,1,0.65,0,0,0,1,0,3,9999,0,0,28,28,125.607928,482.3529304
628,,0,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,27,4.76,252,129,14,8,0,0.19,9999,27,E,1,0.64,0,0,0,1,0,3,9999,0,0,12,12,102.0015,252.00255
629,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,197,11.99,3591,2358,186,155,0,0.17,9999,33,S,1,0.65,0,1,0,1,0,3,9999,0,0,212,212,750.0028001,3591.0411
630,COB,3,10,327,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,279,17.63,7989,4912,517,459,0,0.2,9999,32,E,1,0.6,0,0,0,1,0,3,9999,0,0,442,442,891.6426405,7988.529929
631,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,34,11.63,735,392,41,34,0,0.11,9999,28,SE,1,0.87,0,0,0,1,0,3,9999,0,0,35,35,170.580406,734.7818462
632,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,17,7.31,228,122,13,9,0,9999,9999,28,E,1,0.86,0,0,0,1,0,3,9999,0,0,11,11,71.2384616,227.8274362
633,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,20,4.59,205,94,10,6,0,9999,9999,25,E,1,0.86,0,0,0,1,0,3,9999,0,0,8,8,89.6153327,204.7714748
634,COB,3,10,349,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,14,36,9.32,530,334,35,28,0,9999,9999,32,SE,1,0.86,0,0,0,1,0,3,9999,0,0,30,30,154.6979238,529.975789
635,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,39,12.74,619,498,52,44,0,0,9999,39,SE,1,0.72,0,0,0,1,0,3,9999,0,0,45,45,143.3911533,619.3121808
636,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,68,15.88,1287,1073,113,99,0,0,9999,40,NW,1,0.71,0,0,0,1,0,3,9999,0,0,97,97,248.1722006,1287.206785
637,COB,3,10,331,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,132,14.15,2818,1864,196,169,0,0.31,9999,33,E,0,0.66,0,0,0,1,0,3,9999,0,0,168,168,505.7689413,2817.68282
645,COB,3,10,272,,Le Sueur,Lower Cobb,Cobb btwn gauges,,3,COB,13,60,24.15,1918,1445,199,182,0,9999,9999,37,E,0,0.36,0,0,0,1,0,2,0.12,0,0,170,170,245.5100904,1917.599195
