Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
3773,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,7754.711914,69792.40723,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.3051138,0.4254303,3342.605713,3296.813721,110,84,11748,1523.334226,GBER_CONUS_wet_poly,197.4471436
3774,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,24664.61328,221981.5195,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.325,0.325,0.0410493,0.379815,9352.563477,9361.514648,110,86,11748,1046.633085,GBER_CONUS_wet_poly,226.4260559
3775,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,3246.177002,29215.59302,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.3646066,0.318677,980.8878784,1033.768189,211,81,11748,1407.4846,GBER_CONUS_wet_poly,254.1758575
3776,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,7902.535156,71122.81641,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.0266029,0.2583964,2009.290405,2040.579834,110,87,1452,1543.220387,GBER_CONUS_wet_poly,336.6920166
3777,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,6552.59375,58973.34375,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.0786827,0.4097876,2688.616211,2683.319336,211,84,11748,1518.006964,GBER_CONUS_wet_poly,204.9842529
3778,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,20123.74023,181113.6621,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.4751811,0.2951368,5928.708008,5935.162598,110,87,1452,1433.508019,GBER_CONUS_wet_poly,294.7785339
3779,LES,3,7,232,228,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,30854.75781,277692.8203,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.1312636,0.2878524,8883.414063,8875.478516,997,85,11748,1066.062615,GBER_CONUS_wet_poly,295.2901917
3780,COB,3,34,332,396,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,73928.33594,665355.0234,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Marna,0.28,0.28,0.0406758,0.5867817,43014.03516,43349.89453,997,85,904,1062.962108,NCED easement_GBERB,144.8579559
3781,COB,3,34,328,332,Le Sueur,Little Cobb,Cobb Little Cobb,AB,3,LO,5,26301.36523,236712.2871,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.75,silty clay loam,5,Marna,0.28,0.28,0.069215,0.3865443,10113.16016,10159.61719,997,90,11748,1306.562379,GBER_CONUS_wet_poly,232.8322754
3789,LES,3,7,228,219,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,5,19065.08203,171585.7383,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.1260613,0.3808689,7311.541016,7256.352051,211,84,11224,843.0922747,GBER_CONUS_wet_poly,220.5483093
