Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
1,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7010.53125,63094.78125,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.26,0.26,0.1744701,0.2187773,1524.002319,1532.66394,86,90,8002,1064.035045,GBER_CONUS_wet_poly,411.3773193
2,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,26385.01367,237465.123,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.0837906,0.5426045,14196.16113,14306.5498,114,86,8002,832.8994491,GBER_CONUS_wet_poly,158.494812
3,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8335.366211,75018.2959,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.1890309,0.3974112,3283.410889,3310.227295,109,87,10436,671.0262971,GBER_CONUS_wet_poly,218.9168549
4,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4844.482422,43600.3418,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.3738527,0.4529385,2274.657227,2192.706543,109,87,8002,866.4704268,GBER_CONUS_wet_poly,192.0790558
5,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6189.894043,55709.04639,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.6312099,0.5667427,3488.867676,3505.698975,211,84,10320,587.5633646,GBER_CONUS_wet_poly,148.2154236
6,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4415.786133,39742.0752,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.0646143,0.3582547,1683.080322,1580.849121,109,87,8072,539.9666385,GBER_CONUS_wet_poly,242.8440094
7,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3898.287842,35084.59058,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.5,clay loam,5,Cordova,0.26,0.26,1.429093,0.2398836,913.2369995,934.4751587,239,92,10436,590.8659291,GBER_CONUS_wet_poly,383.5192566
8,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7406.232422,66656.0918,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.2050844,0.3160673,2304.130371,2339.220459,114,86,8002,658.3193503,GBER_CONUS_wet_poly,272.0939636
9,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,11670.83008,105037.4707,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.52891,0.4814174,5693.241699,5614.574219,109,87,5958,323.8943343,GBER_CONUS_wet_poly,180.7163696
10,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4405.172363,39646.55127,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.666666667,clay loam,5,Cordova,0.28,0.28,2.8132453,0.2861296,1251.53064,1259.561523,114,86,8002,418.7268345,GBER_CONUS_wet_poly,300.5631409
11,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3313.34668,29820.12012,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,1.5908993,0.4099448,1328.221191,1357.330078,109,87,10436,277.8035502,GBER_CONUS_wet_poly,212.2236786
12,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,48987.62891,440888.6602,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,4.25,clay loam,4.333333333,Cordova,0.2233333,0.2233333,0.6635222,2.0756822,102055.0703,101611.2109,106C,86,8002,143.5126214,GBER_CONUS_wet_poly,41.4321632
13,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,69364.72656,624282.5391,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.785714286,clay loam,5,Cordova,0.2628571,0.2628571,0.1973221,0.8643014,60557.28125,59909.66406,94B,90,5958,0,GBER_CONUS_wet_poly,104.1303329
14,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3558.711914,32028.40723,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Minnetonka,0.28,0.28,0.1099348,0.2401042,816.8343506,853.8609009,287,77,8002,182.0699186,GBER_CONUS_wet_poly,320.6941528
15,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,37202.08594,334818.7734,Open Water,All areas are prime farmland,Well drained,Not Hydric,0,None,2.285714286,loam,4.428571429,Lester,0.21,0.21,1.8945129,0.7517973,28194.65234,27948.73633,114,85,8002,0,GBER_CONUS_wet_poly,113.0623932
16,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4924.134277,44317.2085,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,1.25,clay loam,5,Le Sueur,0.26,0.26,0.7809469,1.4417572,6890.157227,7094.398438,239,92,2640,180.8181947,GBER_CONUS_wet_poly,63.8110199
17,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5354.905762,48194.15186,Hay/Pasture,Not prime farmland,,Unknown Hydric,0.5,None,1.4,,4,Water,0.202,0.202,1.7085551,2.4921126,13120.97363,13336.01465,211,64,5319,0,GBER_CONUS_wet_poly,25.6810226
18,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,7321.800293,65896.20264,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.833333333,clay loam,5,Cordova,0.2666667,0.2666667,1.5679595,0.4424918,3333.290772,3237.519043,109,90,8072,64.2625389,GBER_CONUS_wet_poly,203.3936005
19,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,5810.437988,52293.94189,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,1.833333333,clay loam,5,Le Sueur,0.2666667,0.2666667,1.3239841,0.5959539,3620.419922,3460.268555,114,90,3034,0,GBER_CONUS_wet_poly,151.0184021
20,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3896.332764,35066.99487,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2,clay loam,5,Cordova,0.2533333,0.2533333,0.3041965,0.4120097,1601.893677,1604.184326,109,92,640,456.085239,GBER_CONUS_wet_poly,223.2957153
21,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8956.603516,80609.43164,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.279432,0.5121571,4563.320313,4583.931641,109,86,640,71.05453473,GBER_CONUS_wet_poly,167.9172058
22,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,30567.32813,275105.9531,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,clay loam,5,Glencoe,0.26,0.26,0.2560838,0.4981137,15251.24512,15215.18555,114,90,640,332.6735628,GBER_CONUS_wet_poly,180.6816559
23,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,229116.4063,2062047.656,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2.739130435,clay loam,5,Cordova,0.26,0.26,0.4658528,1.7685815,405698.4688,404923.6875,414,89,640,0,GBER_CONUS_wet_poly,50.3228149
24,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,18925.10352,170325.9316,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2.875,clay loam,5,Cordova,0.27,0.27,0.9896518,0.6143202,11643.82422,11617.82129,109,86,1355,190.9360381,GBER_CONUS_wet_poly,139.992157
25,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5304.14502,47737.30518,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1.166666667,silty clay loam,5,Glencoe,0.2666667,0.2666667,0.7896915,0.3362815,1770.522339,1782.436523,84,88,8302,561.5749182,GBER_CONUS_wet_poly,261.6854858
26,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6747.562988,60728.06689,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.75,silty clay loam,5,Glencoe,0.28,0.28,1.5514976,0.1824966,1182.577881,1230.543457,84,84,8302,150.5558268,GBER_CONUS_wet_poly,460.2825623
27,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,7313.496582,65821.46924,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1.166666667,silty clay loam,5,Glencoe,0.2666667,0.2666667,0.8658171,0.2538059,1809.128662,1854.908203,84,88,8302,533.6517681,GBER_CONUS_wet_poly,346.7215881
28,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8304.138672,74737.24805,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.166666667,silty clay loam,5,Marna,0.2666667,0.2666667,0.0952937,0.4976375,3950.246582,4129.56543,110,89,1664,380.9456621,GBER_CONUS_wet_poly,178.8450317
29,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,63979.25391,575813.2852,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.2733333,0.2733333,0.0631184,1.1470616,73307.5625,73336.82813,86,86,10516,397.3099442,GBER_CONUS_wet_poly,74.9741821
30,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,13368.32227,120314.9004,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.3360056,0.4293743,5738.587402,5735.992676,211,84,10516,381.8118506,GBER_CONUS_wet_poly,195.6335144
31,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,20161.8418,181456.5762,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.3578427,0.5700272,11404.53418,11484.75391,211,84,10516,275.8823466,GBER_CONUS_wet_poly,147.3613892
32,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4590.417481,41313.75732,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,silty clay loam,5,Marna,0.28,0.28,0.0603325,0.2762046,1297.608887,1267.009644,110,84,1664,187.875757,GBER_CONUS_wet_poly,304.1224365
33,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6292.261719,56630.35547,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,1.5,clay loam,5,Le Sueur,0.26,0.26,0.2379059,0.4087763,2582.648682,2570.341309,239,92,6499,164.1570158,GBER_CONUS_wet_poly,225.0619812
34,LES,3,5,2,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,22402.44922,201622.043,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.2825053,0.2843558,6334.024414,6365.913086,978,86,12820,365.3205459,GBER_CONUS_wet_poly,302.4380493
35,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,47836.69141,430530.2227,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1,Frequent,2.714285714,muck,4.428571429,Caron,0.25,0.25,1.1368564,1.1019036,52124.44922,52675.66016,238B,85,6905,0,GBER_CONUS_wet_poly,77.1392365
36,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3122.945801,28106.51221,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,0,None,2.5,clay loam,5,Kilkenny,0.28,0.28,0.3489443,0.2667948,799.5839233,832.62323,110,83,12516,111.006017,GBER_CONUS_wet_poly,311.1005554
37,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,255369,2298321,Emergent Herbaceuous Wetlands,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,3.090909091,silty clay,4.575757576,Lura,0.2418182,0.2418182,0.7701005,1.5530347,395502.0313,396328.8125,238B,84,4788,0,GBER_CONUS_wet_poly,54.0876541
38,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3202.495361,28822.45825,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2.5,clay loam,5,Cordova,0.26,0.26,0.1056151,0.5419706,1712.085327,1734.435669,106B,89,8002,175.650051,GBER_CONUS_wet_poly,164.2155457
39,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,82533.35156,742800.1641,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,2,silty clay loam,3.909090909,Glencoe,0.1863636,0.1863636,0.3604436,1.8167377,149510.25,149836.0781,114,78,2640,0,GBER_CONUS_wet_poly,42.9341011
40,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4654.166992,41887.50293,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1,silty clay loam,5,Okoboji,0.28,0.28,1.2860214,0.1698407,797.9116821,789.9326172,239,88,6482,154.5204629,GBER_CONUS_wet_poly,518.1325073
41,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,8110.22168,72991.99512,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1.25,silty clay,5,Lura,0.26,0.26,0.8281743,1.0699067,8406.257813,8671.34668,211,90,6900,43.55783689,GBER_CONUS_wet_poly,84.1194839
42,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5846.008301,52614.07471,Cultivated Crops,All areas are prime farmland,Well drained,Not Hydric,0,None,2.5,clay loam,5,Kilkenny,0.28,0.28,1.2580396,0.85017,4889.327637,4966.766602,109,83,4589,114.1448411,GBER_CONUS_wet_poly,97.6275406
43,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,110574.1953,995167.7578,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,2.125,clay loam,4.416666667,Le Sueur,0.22,0.22,0.6465417,0.7920498,87188.04688,87521.07813,230,90,6482,0,GBER_CONUS_wet_poly,113.6292267
45,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3406.701172,30660.31055,Hay/Pasture,All areas are prime farmland,Well drained,Not Hydric,0,None,2.25,loam,5,Lester,0.26,0.26,2.7670486,1.8804702,6397.359375,6401.912598,106B,86,12373,0,GBER_CONUS_wet_poly,45.733242
46,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5008.773926,45078.96533,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,2.166666667,loam,5,Terril,0.2533333,0.2533333,1.8527435,1.2932022,6494.461426,6473.007324,94B,93,4589,0,GBER_CONUS_wet_poly,71.9145126
47,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,12724.43262,114519.8936,Hay/Pasture,All areas are prime farmland,Well drained,Not Hydric,0,None,1.833333333,clay loam,3.666666667,Kilkenny,0.1933333,0.1933333,1.469915,1.7222241,22738.52344,21899,238B,57,10516,0,GBER_CONUS_wet_poly,33.0967369
48,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3970.619629,35735.57666,Herbaceuous,Not prime farmland,Poorly drained,All Hydric,1,None,2,loamy fine sand,5,Beaches,0.17,0.17,1.2015349,2.2712915,8830.78125,9012.133789,1032,72,6223,0,GBER_CONUS_wet_poly,31.7000256
51,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,31993.85742,287944.7168,Cultivated Crops,Not prime farmland,Excessively drained,Not Hydric,0,None,3.5,sandy loam,4.25,Hawick,0.1675,0.1675,0.4003161,1.6150181,51803.32031,51632.78125,392,56,7000,155.9583638,GBER_CONUS_wet_poly,34.6745338
52,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5777.928711,52001.3584,Hay/Pasture,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,3,clay loam,4,Le Sueur,0.205,0.205,0.4641384,1.3924317,7556.727539,8039.981934,239,85,8534,0,GBER_CONUS_wet_poly,61.0442848
53,LES,3,5,10,12,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,6991.018066,62919.1626,Hay/Pasture,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.5,silty clay,3,Lura,0.15,0.15,3.1294456,1.9959285,13741.96777,13944.22949,524,84,4589,0,GBER_CONUS_wet_poly,42.0856743
54,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,31212.60352,280913.4316,Hay/Pasture,Not prime farmland,,Unknown Hydric,0.5,None,2,,3.888888889,Water,0.1966667,0.1966667,0.6338257,1.4916866,46276.59375,46526.60156,114,66,8258,0,GBER_CONUS_wet_poly,44.2452202
55,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,17797.06641,160173.5977,Herbaceuous,Not prime farmland,,Unknown Hydric,0.5,None,2.916666667,,4.166666667,Water,0.2083333,0.2083333,5.3052416,2.1869538,39148.66016,38894.05078,W,68,815,0,GBER_CONUS_wet_poly,31.0934792
56,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,17096.20898,153865.8809,Hay/Pasture,Farmland of statewide importance,Well drained,Not Hydric,0,None,3.25,loam,5,Lester,0.28,0.28,0.3112177,0.8405944,14230.42188,14360.52344,109,80,6521,237.5639866,GBER_CONUS_wet_poly,95.1707535
57,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,4255.169434,38296.5249,Hay/Pasture,Prime farmland if drained,Poorly drained,All Hydric,1,None,2.5,clay loam,5,Cordova,0.28,0.28,0.2298622,1.2736061,5364.429199,5415.464844,109,84,10796,151.9212761,GBER_CONUS_wet_poly,65.9544601
58,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4208.759766,37878.83789,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.9278986,0.2967983,1274.155273,1248.253906,109,87,9302,561.5223913,GBER_CONUS_wet_poly,293.1283264
59,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,14027.99902,126251.9912,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,3.125,clay loam,5,Hamel,0.215,0.215,0.1324726,0.5972479,8224.104492,8372.22168,238C2,85,368,17.49773753,NCED easement_GBERB,142.319458
60,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,15006.92578,135062.332,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0,None,5.222222222,loam,5,Lester,0.2511111,0.2511111,1.008854,0.4993209,7441.87793,7487.907227,109,80,8072,0,GBER_CONUS_wet_poly,160.2176208
61,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,3252.354004,29271.18604,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,0.4293314,0.3681655,1222.677612,1196.546021,109,86,8072,120.5151844,GBER_CONUS_wet_poly,233.5906219
62,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,10459.18652,94132.67871,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,0.75,clay loam,5,Cordova,0.28,0.28,1.0117493,0.961453,9890.466797,10048.82813,109,86,9731,14.69184906,GBER_CONUS_wet_poly,89.4479446
63,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5394.450684,48550.05615,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0,None,3.333333333,loam,4,Lester,0.1933333,0.1933333,0.298699,1.6665967,9044.620117,8984.12793,114,81,10777,0,GBER_CONUS_wet_poly,48.6020432
64,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3753.51294,33781.61646,Hay/Pasture,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,0.711385,0.9527046,3549.777588,3573.508301,109,87,6499,78.30235017,GBER_CONUS_wet_poly,91.3189697
65,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,35690.20313,321211.8281,Deciduous Forest,All areas are prime farmland,Well drained,Not Hydric,0,None,3.1875,loam,4,Lester,0.21,0.21,0.8331383,0.8296939,28898.23633,29591.41602,106B,76,8189,0,GBER_CONUS_wet_poly,91.6000519
66,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,13359.20898,120232.8809,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,0.5,silty clay loam,3,Glencoe,0.15,0.15,2.2306173,1.1534144,15789.08984,15398.00879,114,68,5369,0,GBER_CONUS_wet_poly,58.9553947
67,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,19525.79102,175732.1191,Cultivated Crops,Not prime farmland,Poorly drained,Partially Hydric,0.5,None,3.290909091,loamy fine sand,3.181818182,Less sandy soil,0.1281818,0.1236364,2.0043805,1.1086042,21012.48438,21630.53711,392,39,2081,0,GBER_CONUS_wet_poly,35.1793709
68,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,3137.639893,28238.75903,Hay/Pasture,Prime farmland if drained,Somewhat poorly drained,Partially Hydric,0.5,None,2.366666667,loam,4.666666667,Hamel,0.2266667,0.2266667,0.2494344,0.4896988,1507.292969,1535.371582,L94A,79,2081,103.9541047,GBER_CONUS_wet_poly,161.3236542
69,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3799.677734,34197.09961,Hay/Pasture,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,2.25,silty clay loam,5,Glencoe,0.28,0.28,0.9121915,1.2236668,4559.382324,4646.3125,238B,82,5384,0,GBER_CONUS_wet_poly,67.0117035
70,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4129.667481,37167.00732,Cultivated Crops,Not prime farmland,Poorly drained,All Hydric,1,None,2,loamy fine sand,5,Beaches,0.205,0.205,1.4507262,1.4642483,6167.414551,6042.605469,1032,85,6223,43.21571715,GBER_CONUS_wet_poly,58.0502625
71,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,5749.175781,51742.58203,Cultivated Crops,Prime farmland if drained,Somewhat poorly drained,Partially Hydric,0.5,None,5.05,clay loam,5,Derrynane,0.28,0.28,0.9075991,0.6732782,3817.487305,3868.000488,L48A,85,6957,587.3065405,GBER_CONUS_wet_poly,126.2479553
72,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,77920.96094,701288.6484,Emergent Herbaceuous Wetlands,Prime farmland if drained,Somewhat poorly drained,Partially Hydric,0.5,None,3.311111111,clay loam,4.277777778,Derrynane,0.1972222,0.1972222,2.6141329,1.2693938,99530.63281,98840.82031,183,63,71,0,GBER_CONUS_wet_poly,49.6299896
73,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,14084.26172,126758.3555,Hay/Pasture,Farmland of statewide importance,Well drained,Not Hydric,0,None,4.3,loam,4.4,Lester,0.206,0.206,0.6859783,2.1042063,29997.56445,29615.41406,238C,65,13116,63.35314095,GBER_CONUS_wet_poly,30.8905067
74,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,24831.24414,223481.1973,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,3.3,clay loam,5,Cordova,0.272,0.272,0.3292266,1.0578138,25876.24023,26248.20117,109,88,1355,0,GBER_CONUS_wet_poly,83.1904449
75,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,517987.0625,4661883.563,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,2.788059701,silty clay loam,4.626865672,Glencoe,0.2304478,0.2304478,0.5138763,1.5385128,797315.8125,796366.375,239,82,121,0,GBER_CONUS_wet_poly,53.2982216
76,LES,3,2,9,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,16309.94922,146789.543,Hay/Pasture,Not prime farmland,Well drained,Not Hydric,0,None,16.9,loam,5,Lester,0.275,0.275,0.1930982,2.1374733,34627.07031,34837.72266,1032,59,3986,0,GBER_CONUS_wet_poly,27.602684
77,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,51611.25781,464501.3203,Cultivated Crops,Not prime farmland,Well drained,Partially Hydric,0.5,None,6.866666667,loam,3.666666667,Cokato,0.1933333,0.1933333,0.3796185,1.7045387,87811.01563,87908.49219,L36A,55,3067,0,GBER_CONUS_wet_poly,32.2667961
78,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,63190.66016,568715.9414,Cultivated Crops,Not prime farmland,Well drained,Partially Hydric,0.5,None,7.605,loam,4.7,Ridgeton,0.2445,0.2445,0.9340405,1.8227684,114424.2891,115096.8906,L36A,70,7012,0,GBER_CONUS_wet_poly,38.4031219
79,LES,2,3,14,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,15504.71387,139542.4248,Herbaceuous,Not prime farmland,Poorly drained,Partially Hydric,0.5,None,1.4,loamy fine sand,3.333333333,Less sandy soil,0.15,0.15,0.00001,1.6448429,25047.66602,25484.11914,L40B,65,4645,0,GBER_CONUS_wet_poly,39.5174522
