Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,3688,13.022,7509.356,5.206,3688,COB,2,33,352,383,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,13074.21387,117667.9248,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,2.4,silty clay loam,5.0,Marna,0.26,0.26,0.21845170000000003,0.7454816999999999,9902.979492,9739.625977,L121B,91,152,1226.570229,GBER_CONUS_wet_poly,122.06871799999999,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4253,10.651,7133.805,4.676,4253,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,11117.52344,100057.7109,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.0,silty clay loam,5.0,Webster,0.24,0.24,0.2285998,0.5074363000000001,5466.61084,5637.293945,L112A,94,155,898.4519338,NCED easement_GBERB,185.2449341,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4276,4.406000000000001,11296.21,3.014,4276,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,4598.479981,41386.31982,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.9,clay loam,5.0,Canisteo,0.24,0.24,1e-05,0.8629518,3704.6521,3965.367188,L107A,91,8347,70.92232983,GBER_CONUS_wet_poly,105.45200349999999,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4277,25.504,9876.478000000001,7.067,4277,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,25407.35938,228666.2344,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.05,silty clay loam,5.0,Brownton,0.28,0.28,0.25793710000000003,0.5269653,13360.15137,13378.98926,L115A,84,221,309.3742368,NCED easement_GBERB,159.4032745,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4278,13.937999999999999,2792.369,5.372000000000001,4278,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,14548.7627,130938.8643,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.9,clay loam,5.0,Canisteo,0.24,0.24,0.29314470000000004,0.372811,5435.583984000001,5419.977051,L107A,91,8347,617.9953799,GBER_CONUS_wet_poly,244.0915375,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4279,303.181,59090.072,24.649,4279,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,307870.2813,2770832.5310000004,Herbaceuous,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.85,clay loam,3.25,Canisteo,0.13,0.13,0.3139815,0.7053738,217171.1875,217004.6719,L107A,80,221,262.2161547,NCED easement_GBERB,113.41504669999999,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4280,6.376,6277.329000000001,3.637,4280,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,6655.119629,59896.07666,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.1,silty clay loam,5.0,Marna,0.28,0.28,0.0693984,0.3156433,2070.935791,2099.110107,L82A,87,297,940.9166362,GBER_CONUS_wet_poly,275.627533,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4281,17.497,18505.698,6.031000000000001,4281,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,18265.33789,164388.041,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.266666667,silty clay loam,5.0,Marna,0.2666667,0.2666667,0.2105451,0.6194642,11390.08887,11306.46582,L82A,89,297,876.6156273,GBER_CONUS_wet_poly,143.67254640000002,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4282,7.776,6557.847,4.002,4282,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,8116.674805,73050.07324,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,0.95,silty clay loam,5.0,Webster,0.24,0.24,0.8491669,0.30114209999999997,2463.643555,2442.480713,L107A,92,8025,854.3839752999999,GBER_CONUS_wet_poly,305.5036316,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
WCMO,4283,115.338,32436.298,15.19,4283,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,116897.2891,1052075.602,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.285714286,silty clay loam,4.571428571,Marna,0.2257143,0.2257143,0.5418538,0.9272129000000001,108450.5313,108309.2813,L82A,87,8025,749.445232,GBER_CONUS_wet_poly,93.8295822,17,SB17,27097.47729,109659696.9,2,Y,COB,15,0,22884.15872,0.044334595,6.65,1.14,7.69,15.16,M77.74/2,0.03,0.035,15.76403234,1451.6691050000002,0.499325905,0.966952551,0.999955446,-0.9669079970000001,1,0.40324141799999996
