Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,299,7.782,7248.927,5.122999999999999,299,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,11717.33105,105455.9795,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.5,silty clay loam,5.0,Marna,0.28,0.28,1.4658328999999999,0.42986579999999996,5118.412109000001,5033.552246,110,87,2085,381.90985539999997,GBER_CONUS_wet_poly,202.38874819999998,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,395,20.612,28764.81,8.343,395,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,31094.34375,279849.0938,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.9166666669999999,silty clay loam,5.0,Marna,0.2733333,0.2733333,1.6291174,0.6399529,19905.0957,19885.79492,287,89,8362,12.60911346,GBER_CONUS_wet_poly,139.0727386,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,396,2.6039999999999996,848.068,3.187,396,LES,3,6,63,92,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,4418.590332,39767.31299,Barren Land,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.18477179999999999,0.9597877,4198.111328,4238.159668,110,87,8006,0.0,GBER_CONUS_wet_poly,90.64505,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,397,9.564,2764.87,5.715,397,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,14405.48926,129649.4033,Emergent Herbaceuous Wetlands,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,6.375,silty clay loam,5.0,Marna,0.28,0.28,0.8735594999999999,3.0424477999999997,43373.13672,43799.19922,106D,79,8909,0.0,GBER_CONUS_wet_poly,25.9659348,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,431,3.1260000000000003,5902.8859999999995,3.221,431,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,4704.205078,42337.8457,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.5934364000000001,0.2310234,1085.3477779999998,1086.059082,211,84,625,139.0529895,GBER_CONUS_wet_poly,363.5995789,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,432,8.432,2437.078,3.5660000000000003,432,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,12697.63281,114278.6953,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Canisteo,0.26,0.26,0.2682364,0.18691660000000002,2331.597656,2371.822266,114,90,625,0.0,GBER_CONUS_wet_poly,481.49813839999996,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,433,8.198,7369.428000000001,5.2170000000000005,433,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,12345.16016,111106.4414,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.833333333,silty clay loam,5.0,Marna,0.28,0.28,0.11532519999999999,0.38946959999999997,4763.602051,4804.865234000001,114,85,3836,106.2983327,GBER_CONUS_wet_poly,218.2455597,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,435,12.853,8717.428,6.553,435,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,19368.49023,174316.4121,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.1145297,0.22363829999999998,4293.185059,4328.666504,110,86,4853,326.19561810000005,GBER_CONUS_wet_poly,384.549469,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,437,3.048,5880.151,3.194,437,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,4585.750488000001,41271.754389999995,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,silty clay loam,5.0,Marna,0.28,0.28,0.21552829999999998,0.3391573,1510.945801,1554.259522,110,84,5383,291.9810081,GBER_CONUS_wet_poly,247.67265319999996,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
WCMO,438,2.373,11006.207,2.82,438,LES,3,6,58,64,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,3569.65625,32126.90625,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,silty clay loam,5.0,Marna,0.28,0.28,0.46791750000000004,0.3356186,1250.515015,1197.2495119999999,110,82,8535,181.999435,GBER_CONUS_wet_poly,244.32495120000002,4,SB4,19069.09758,77169968.23,3,F,LES,7,2,32291.626969999998,0.112367785,30.0,2.44,34.88,73.09,L27.26,0.04,0.035,26.13901829,1235.380251,0.49979856899999997,0.971806519,0.999988642,-0.97179516,1,0.34316118100000004
