Site_ID,SedRed,Cost,NEAR_FID,Cluster_size,NEAR_DIST,area_m2,Sedrank,NEARrank,bcr
16450,6.471,904.825,530,8,487.25849360000007,4714.308106,6.0,6.0,0.007151659160611168
16443,7.396,1063.358,530,8,484.3277159,5540.291992,5.0,5.0,0.00695532454733025
16445,8.037,1173.19,530,8,606.3800091,6112.540039,4.0,7.0,0.0068505527663890765
16454,81.872,26282.2,530,8,1216.80256,70785.42969,3.0,8.0,0.0031151121291216107
16449,592.169,564348.154,530,8,0.0,526821.5,2.0,1.0,0.0010492973101848756
16458,1347.437,1270662.553,530,8,43.75533844,1214686.375,1.0,2.0,0.0010604207992269367
14079,5.77,5762.5819999999985,574,6,1060.322593,3973.192383,6.0,6.0,0.001001287270185483
13083,25.058000000000003,8975.132,574,6,797.5744672000003,20711.17578,5.0,4.0,0.0027919366534107804
14070,27.726,9419.872,574,6,967.1021174,23028.35547,4.0,5.0,0.0029433520965040714
14760,43.483,12048.693,574,6,545.2517740000002,36725.00391,3.0,2.0,0.003608939160454997
14077,53.54600000000001,13729.045,574,6,237.4628411,45479.94922,2.0,1.0,0.003900198447889129
14069,104.09,21990.449,574,6,698.6887326,88523.40625,1.0,3.0,0.004733418585495913
16067,8.899,6332.2959999999985,575,6,1479.305603,6941.508789,6.0,2.0,0.0014053354423103407
16065,10.474,6604.464,575,6,1687.590773,8359.553711,5.0,4.0,0.0015858970538714422
16062,14.804,7352.975,575,6,2166.525517,12259.43555,4.0,5.0,0.002013334738660202
16061,20.034,8256.979,575,6,2245.105391,16969.4668,3.0,6.0,0.002426311124201721
16068,24.253,8986.608,575,6,1531.080776,20770.9707,2.0,3.0,0.0026987935826287292
16070,111.538,23908.792,575,6,992.1300131,98518.32813,1.0,1.0,0.004665145775662777
18514,4.578,5938.518,579,7,1275.256755,3121.549072,7.0,4.0,0.0007708994062154902
17593,4.8889999999999985,6024.651,579,7,1613.981497,3408.0288090000013,6.0,7.0,0.0008114992885065041
18515,7.232,1068.122,579,7,368.2017188,5565.112305,5.0,3.0,0.006770762141403323
17603,8.13,6921.6640000000025,579,7,1372.674263,6391.529785,4.0,5.0,0.0011745730506421575
18520,14.188,7297.695,579,7,259.1435414,11971.41895,3.0,2.0,0.0019441755239154282
18518,25.748,21437.523,579,7,0.0,22619.85742,2.0,1.0,0.0012010715976841168
17604,29.739,15764.559,579,7,1578.709255,26294.51953,1.0,6.0,0.0018864466808110522
15238,5.127999999999999,5680.7869999999975,584,14,371.4609012,3547.0268560000004,14.0,2.0,0.0009026918277344322
15215,5.386,725.2810000000003,584,14,285.7519963,3778.850342,13.0,1.0,0.007426087268244994
15518,5.7860000000000005,5794.507,584,14,2365.000392000001,4139.53125,12.0,13.0,0.000998531885456347
15509,9.947,1513.447,584,14,1234.038039,7885.339844,11.0,6.0,0.0065724138341151025
15510,11.234000000000002,6735.784000000002,584,14,1036.153711,9043.759766,10.0,5.0,0.0016678088252236115
15512,11.318,6750.365,584,14,1271.817453,9119.729492,9.0,7.0,0.001676650077440257
15514,17.041,7739.595,584,14,1580.62695,14273.79785,8.0,9.0,0.002201794796756161
15508,26.728,9414.726,584,14,1327.138522,23001.54492,7.0,8.0,0.0028389567577431357
15517,26.94400000000001,9451.951,584,14,2567.635413,23195.49219,6.0,14.0,0.0028506284046542364
15507,31.019,10156.827,584,14,1732.15776,26868.03125,5.0,10.0,0.0030540049564691807
15240,32.378,10392.072,584,14,2011.249701,28093.70117,4.0,12.0,0.0031156443103935384
15516,34.024,10676.822,584,14,1921.243852,29577.29883,3.0,11.0,0.003186716047153357
15515,42.444,17134.057,584,14,978.4586277,37169.76563,2.0,4.0,0.002477171635415944
15511,46.539,17842.894,584,14,505.4547069,40862.9375,1.0,3.0,0.002608265228723547
17188,5.346,731.2239999999997,647,1,221.2217303,3809.812256,1.0,1.0,0.007311029178473358
15230,8.633,6234.5459999999985,675,4,932.547942,6432.216309,4.0,4.0,0.001384703874187471
15229,19.211,7989.825,675,4,319.9388956,15577.54297,3.0,1.0,0.0024044331383978996
14484,30.247,14822.687,675,4,382.6355434,25127.09766,2.0,3.0,0.0020405881875533096
15231,88.601,19343.182,675,4,381.0571697,74730.64844,1.0,2.0,0.004580476986671583
17189,5.502999999999999,11188.662,677,2,210.5049484,3953.537109,2.0,1.0,0.0004918371830340392
17191,11.394,11794.951,677,2,348.08475310000006,9352.03125,1.0,2.0,0.0009660065565342324
14075,5.053,5643.217,691,12,855.0765142000001,3351.282715,12.0,6.0,0.0008954112521279972
14074,5.683,5748.161,691,12,916.2417102,3898.060303,11.0,9.0,0.0009886640266339095
14082,5.9510000000000005,5792.644,691,12,862.7263042000003,4129.823242,10.0,7.0,0.0010273374300233194
14078,6.2929999999999975,5879.646,691,12,286.3238381,4583.120117,9.0,3.0,0.0010703025318190922
14808,7.4529999999999985,1079.528,691,12,141.3454465,5624.542969,8.0,2.0,0.006903943204808026
14073,9.041,6307.115,691,12,1235.425265,6810.314941,7.0,12.0,0.0014334604648876706
15453,9.154,6372.587,691,12,977.167305,7151.432617,6.0,10.0,0.0014364652848207484
14076,9.483,6489.955,691,12,683.4277722999999,7762.9428709999975,5.0,5.0,0.0014611811638139249
14086,18.719,3021.238,691,12,1086.719215,15741.21387,4.0,11.0,0.00619580450133356
14810,66.411,34005.328,691,12,78.6747553,58637.66406,3.0,1.0,0.0019529586657714344
14087,69.35600000000001,34653.407,691,12,645.1585719999998,60220.72266,2.0,4.0,0.002001419369818385
14080,346.08,62320.21599999999,691,12,865.4218331000003,298649.0,1.0,8.0,0.005553254179991931
18181,5.57,770.702,697,6,0.0,4015.501709000001,6.0,1.0,0.007227177300694692
18183,5.805,811.9630000000003,697,6,377.1498598,4230.479492,5.0,5.0,0.007149340548768845
18182,7.269,1069.432,697,6,12.07662953,5571.938477000002,4.0,2.0,0.006797066106119885
17192,38.799,6617.3809999999985,697,6,397.8458043,34477.78516,3.0,6.0,0.005863195726526855
17195,39.354,19957.258,697,6,222.0284627,34987.33203,2.0,3.0,0.0019719141777893535
18185,57.726000000000006,9950.83,697,6,276.66886889999995,51845.67969,1.0,4.0,0.005801124127334103
10922,54.964,13980.746,841,1,224.7506919,46791.35938,1.0,1.0,0.003931406807619565
11831,6.0,817.2919999999997,876,2,705.0981519,4258.242676,2.0,2.0,0.007341317423882777
11829,56.351000000000006,9383.45,876,2,509.0361569,48889.52344,1.0,1.0,0.0060053605017344365
10914,13.954,6946.033,899,1,368.2146056,10139.19434,1.0,1.0,0.0020089164563427786
11297,7.4689999999999985,11066.895,920,1,152.0539455,5558.720703,1.0,1.0,0.0006748957137480746
12584,7.28,7206.182,1004,1,108.2393587,5389.027344,1.0,1.0,0.0010102437046413761
18158,4.714,636.168,1033,4,170.543467,3314.553711,4.0,1.0,0.007409992329070309
17605,6.084,883.1089999999997,1033,4,342.4727831,4601.162598,3.0,2.0,0.006889296791222829
18148,11.064,1752.003,1033,4,1394.140747,9128.263672,2.0,4.0,0.006315057679695754
18163,12.555,17990.217,1033,4,774.1084049,10506.87891,1.0,3.0,0.0006978792973981358
15168,16.572,12713.095,1043,3,506.03728110000014,14135.72852,3.0,3.0,0.0013035378088498513
15166,23.507,8936.638,1043,3,0.0,20510.61523,2.0,1.0,0.002630407542523262
14809,24.295,14075.594,1043,3,497.037432,21234.60352,1.0,2.0,0.0017260372812685563
16053,5.006,5683.566999999999,1175,3,1183.701099,3561.5139159999994,3.0,3.0,0.000880784901453612
16054,7.2429999999999986,11698.319,1175,3,839.0204861,5648.676758,2.0,1.0,0.0006191487853938672
16058,17.812,21127.651,1175,3,869.8397185,14967.97559,1.0,2.0,0.0008430658003580237
15958,12.714,7057.655,1344,4,1110.309564,10720.76367,4.0,2.0,0.0018014482147398819
15949,18.338,3061.79,1344,4,1249.785757,15952.49609,3.0,3.0,0.005989306908703733
15943,20.098,8375.972,1344,4,645.6892835,17589.44336,2.0,1.0,0.0023994827107827006
15953,35.146,6063.575,1344,4,1520.556525,31592.35352,1.0,4.0,0.00579625056175606
16418,7.213999999999999,6075.768,1587,8,882.2591297,5604.9521479999985,8.0,5.0,0.0011873396087539877
16424,13.208,7161.73,1587,8,281.2021421,11263.01367,7.0,4.0,0.0018442471302324997
16423,19.987,3380.959000000001,1587,8,215.6065644,17615.42383,6.0,3.0,0.005911636313838764
16421,22.025,3747.451,1587,8,197.3791227,19524.91602,5.0,2.0,0.005877328349323313
17125,29.019,12294.495,1587,8,1349.0197449999996,25631.04492,4.0,7.0,0.0023603246819003136
16395,53.82100000000001,14400.163,1587,8,1586.806404,48976.59766,3.0,8.0,0.0037375271377136504
16419,94.369,21437.949,1587,8,1239.425489,85644.77344,2.0,6.0,0.004401960280808579
16422,178.822,36562.64,1587,8,166.1285561,164447.2344,1.0,1.0,0.004890839392341472
