f1,f2,prob,repl,algorithm
14065.447999999995,7986040.587000002,maple29,1,EA_bcrseeds
0.0,0.0,maple29,1,EA_bcrseeds
4915.586999999999,1294881.8300000005,maple29,1,EA_bcrseeds
13774.542999999994,7248239.099000002,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
5511.936999999997,1467680.5650000004,maple29,1,EA_bcrseeds
14059.769999999995,7964750.166000004,maple29,1,EA_bcrseeds
13988.562999999995,7499329.469000002,maple29,1,EA_bcrseeds
13988.562999999995,7499329.469000002,maple29,1,EA_bcrseeds
13988.562999999995,7499329.469000002,maple29,1,EA_bcrseeds
10965.614,3622191.4499999993,maple29,1,EA_bcrseeds
10654.85,3333109.9979999987,maple29,1,EA_bcrseeds
10654.85,3333109.9979999987,maple29,1,EA_bcrseeds
5841.641999999999,1513981.8890000002,maple29,1,EA_bcrseeds
13300.101999999995,5970663.989000007,maple29,1,EA_bcrseeds
13568.533999999996,6449208.895000005,maple29,1,EA_bcrseeds
9941.273999999998,2997668.4059999986,maple29,1,EA_bcrseeds
7646.325000000002,2145029.4390000007,maple29,1,EA_bcrseeds
11856.663999999995,4529044.935999999,maple29,1,EA_bcrseeds
12595.370999999996,5070482.621000004,maple29,1,EA_bcrseeds
8020.578000000001,2287228.942,maple29,1,EA_bcrseeds
1833.22,408587.02,maple29,1,EA_bcrseeds
12353.430999999995,4855912.495000003,maple29,1,EA_bcrseeds
13423.326999999996,6416482.907000005,maple29,1,EA_bcrseeds
11526.55,4251917.744999999,maple29,1,EA_bcrseeds
3911.347,1003510.1470000001,maple29,1,EA_bcrseeds
9455.473999999997,2830482.160999998,maple29,1,EA_bcrseeds
6246.595999999998,1633585.904,maple29,1,EA_bcrseeds
3347.188,813686.5940000003,maple29,1,EA_bcrseeds
12626.511999999995,5102931.530000004,maple29,1,EA_bcrseeds
13073.966999999995,5846074.920000005,maple29,1,EA_bcrseeds
11654.492,4321194.588999998,maple29,1,EA_bcrseeds
3542.207000000001,878382.2910000002,maple29,1,EA_bcrseeds
13733.440999999995,6668850.411000005,maple29,1,EA_bcrseeds
25.748,21437.523,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8072.991999999999,2295782.9269999997,maple29,1,EA_bcrseeds
8434.083000000002,2402901.2490000003,maple29,1,EA_bcrseeds
3114.917000000001,757947.6590000001,maple29,1,EA_bcrseeds
10212.261,3090122.345999999,maple29,1,EA_bcrseeds
13978.210999999996,7351338.957000002,maple29,1,EA_bcrseeds
11960.753999999995,4551035.385,maple29,1,EA_bcrseeds
2773.5209999999997,661816.5830000001,maple29,1,EA_bcrseeds
12630.242999999995,5390667.054000007,maple29,1,EA_bcrseeds
6776.092999999997,1885737.5099999998,maple29,1,EA_bcrseeds
4719.159000000001,1201925.3000000005,maple29,1,EA_bcrseeds
12899.877,5668518.615000006,maple29,1,EA_bcrseeds
12328.131999999998,4836180.676000003,maple29,1,EA_bcrseeds
423.338,78458.24900000001,maple29,1,EA_bcrseeds
10998.79,3635074.219999999,maple29,1,EA_bcrseeds
9695.123999999994,2915146.220999998,maple29,1,EA_bcrseeds
6573.984999999998,1750438.1409999996,maple29,1,EA_bcrseeds
11485.250999999998,4026214.299,maple29,1,EA_bcrseeds
4410.969000000001,1131067.0940000005,maple29,1,EA_bcrseeds
7277.0509999999995,2032353.994,maple29,1,EA_bcrseeds
6970.282999999998,1938785.513,maple29,1,EA_bcrseeds
6970.282999999998,1938785.513,maple29,1,EA_bcrseeds
7345.706000000001,2056373.9760000003,maple29,1,EA_bcrseeds
13337.135999999995,6202152.6350000035,maple29,1,EA_bcrseeds
6426.621999999998,1709542.4439999997,maple29,1,EA_bcrseeds
7574.465999999999,2128429.799000001,maple29,1,EA_bcrseeds
11287.952999999998,3922284.048,maple29,1,EA_bcrseeds
13125.103999999996,5880161.053000006,maple29,1,EA_bcrseeds
13337.135999999995,6202152.6350000035,maple29,1,EA_bcrseeds
8551.053,2466842.0420000004,maple29,1,EA_bcrseeds
12088.662999999995,4720795.561000002,maple29,1,EA_bcrseeds
10351.145999999997,3255107.532999998,maple29,1,EA_bcrseeds
10351.145999999997,3255107.532999998,maple29,1,EA_bcrseeds
12065.639999999998,4702321.972,maple29,1,EA_bcrseeds
12808.215999999995,5636846.400000008,maple29,1,EA_bcrseeds
1530.6799999999996,355010.4750000001,maple29,1,EA_bcrseeds
1050.4720000000002,235294.267,maple29,1,EA_bcrseeds
9649.376999999997,2883920.6489999983,maple29,1,EA_bcrseeds
13850.915999999996,7282117.048000004,maple29,1,EA_bcrseeds
11465.482999999998,4016271.15,maple29,1,EA_bcrseeds
2143.4320000000002,526189.1440000001,maple29,1,EA_bcrseeds
4751.636999999999,1226882.2640000004,maple29,1,EA_bcrseeds
9225.425,2758076.590999999,maple29,1,EA_bcrseeds
8899.649000000001,2618438.471,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
423.338,78458.24900000001,maple29,1,EA_bcrseeds
685.6189999999999,127699.677,maple29,1,EA_bcrseeds
8674.994,2518268.255,maple29,1,EA_bcrseeds
8871.153000000002,2602192.603,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
4389.856000000002,1120861.2630000005,maple29,1,EA_bcrseeds
12778.996999999998,5468335.489000007,maple29,1,EA_bcrseeds
3126.112,759739.3060000001,maple29,1,EA_bcrseeds
1300.329,302841.46,maple29,1,EA_bcrseeds
3718.335,936972.58,maple29,1,EA_bcrseeds
0.0,0.0,maple29,1,EA_noseeds
11420.204999999994,6190971.1120000025,maple29,1,EA_noseeds
8156.495000000003,3034483.5039999993,maple29,1,EA_noseeds
6984.232000000004,2241978.9400000004,maple29,1,EA_noseeds
