ClusterID,Cluster_RP,ND,FD,Size
1,4578,0.0,0.0,1
2,4965,173.2555589,379.4044902,3
6,6664,55.20019478,1327.7060279999998,8
9,9459,0.0,377.023031,3
11,1770,106.29329080000001,106.29329080000001,1
12,4895,564.2673417999999,928.3831025000001,4
13,150,138.5038874,138.5038874,1
15,13198,0.0,763.0676089,12
26,16386,0.0,0.0,1
29,7089,107.94314840000001,1381.2412199999999,8
30,3453,595.3245528,595.3245528,1
31,16191,0.0,0.0,2
35,2595,230.92153330000002,315.85058829999997,2
36,6311,218.27124190000004,218.27124190000004,1
37,3206,0.0,32.69745814,2
46,5923,49.67569751,1177.770126,15
63,5075,0.0,0.0,1
71,72,0.0,0.0,1
86,1330,0.0,910.4134638,5
88,6490,356.0737587,356.0737587,1
97,10274,460.8750605,460.8750605,1
101,5201,0.0,0.0,1
113,12582,0.0,306.41869489999993,4
115,4395,0.0,819.7994229,4
121,75,0.0,0.0,1
127,317,0.0,0.0,1
134,12589,0.0,1571.747372,8
135,11525,395.0394207,584.273194,2
138,3616,144.33031730000002,144.33031730000002,1
139,10374,0.0,756.5410644,5
140,10379,545.8745864,545.8745864,1
141,303,50.44497965,50.44497965,1
142,18076,306.13924810000003,975.2747856000001,6
144,3846,0.0,705.2138813999999,3
148,7470,148.77550180000003,1002.497591,10
149,7419,0.0,1167.160375,5
150,7460,212.9221,1571.0179679999999,20
151,2813,91.43752047,649.5223323,2
152,3679,34.51320349,1226.570229,10
153,3880,112.4469723,312.89762060000004,3
155,149,0.0,1032.41119,11
156,321,0.0,764.9743264,9
157,4458,0.0,450.85817649999996,5
162,8751,0.0,252.154018,2
168,15432,0.0,0.0,1
169,7836,280.9491193,451.8850688,2
170,10887,24.02054665,1697.135643,52
171,5626,0.0,851.9627455,9
174,1014,497.5429895,497.5429895,1
176,6305,104.7762677,604.1128927999999,4
178,3901,47.33416074,608.4234918,2
179,6505,355.11544310000005,1339.367708,7
180,4745,452.64168499999994,1544.055695,6
181,9289,440.7555585,844.0284849999999,6
182,4480,0.0,306.4527456,2
183,5481,0.0,264.9107515,2
184,545,151.0544541,561.3488219,3
185,11599,7.1536489329999995,1484.7143720000001,10
187,1818,0.0,1059.6125550000002,8
188,3589,0.0,898.4422332999999,6
189,342,0.0,526.5235157999999,7
190,7463,101.1775002,937.9667912999998,4
191,11366,63.98379037,902.1700591,10
192,1419,172.5996515,390.23591719999996,2
193,10568,127.71626640000001,1207.675396,12
194,7408,0.0,487.5999715,3
195,2196,92.38424345,999.6728195000001,9
196,4300,74.55057309,1252.600524,6
197,4142,85.54837223,118.1962264,2
198,9658,0.0,1725.7030730000001,34
199,3675,147.2834559,463.9128428,3
200,180,0.0,169.35074419999998,2
201,3342,0.001238726,172.7065325,2
202,9315,0.0,1302.831385,11
203,8731,813.1515423,1821.844484,3
204,5914,0.0,1558.3064689999999,25
205,6128,26.57850689,1215.235097,15
206,2159,168.8157659,168.8157659,1
207,4249,0.0,884.8500426,11
208,10908,0.0,341.0435871,6
209,9901,26.6695782,427.7521087,3
210,8727,1010.384171,1270.332507,3
211,10561,5.310027997,1440.92395,12
212,8442,0.0,1623.1359730000001,32
214,10899,434.80114789999993,841.802191,6
219,118,0.0,1428.161572,5
220,8784,0.0,1622.656327,13
221,4208,0.0,1033.1114929999999,8
222,15373,0.0,1001.8330369999999,5
223,3379,35.59111321,716.7769421,3
226,507,91.61083083,91.61083083,1
227,11395,371.5851355,836.0576792,4
228,10370,412.337173,1963.3097890000001,15
229,11396,726.6865478999999,850.5565605,3
230,7468,251.58005240000003,696.8479722999999,2
231,11399,559.6091527000001,559.6091527000001,1
232,7835,237.53250380000003,739.7867323,2
233,6565,1087.3678710000002,1534.647263,4
236,8180,132.5010447,1206.843028,11
