f1,f2,prob,repl,algorithm
14065.543999999998,7014298.835000005,maple29,2,EA_bcrseeds
0.0,0.0,maple29,2,EA_bcrseeds
13610.983999999999,5906163.170000006,maple29,2,EA_bcrseeds
13937.568999999996,6208365.403000005,maple29,2,EA_bcrseeds
13229.197000000002,5639853.131000007,maple29,2,EA_bcrseeds
4489.152,1169174.894,maple29,2,EA_bcrseeds
8544.343,2521097.607,maple29,2,EA_bcrseeds
8094.790000000002,2364886.1169999996,maple29,2,EA_bcrseeds
8094.790000000002,2364886.1169999996,maple29,2,EA_bcrseeds
14049.981999999998,6996171.074000005,maple29,2,EA_bcrseeds
12599.824999999995,5060529.294000005,maple29,2,EA_bcrseeds
14032.375999999997,6660889.586000003,maple29,2,EA_bcrseeds
5709.969999999999,1603864.2809999997,maple29,2,EA_bcrseeds
5362.090999999999,1442452.081,maple29,2,EA_bcrseeds
6956.4990000000025,1992225.278,maple29,2,EA_bcrseeds
11825.608999999999,4172390.4780000006,maple29,2,EA_bcrseeds
2890.0719999999997,734115.652,maple29,2,EA_bcrseeds
12381.884999999998,4851887.929000002,maple29,2,EA_bcrseeds
12381.884999999998,4851887.929000002,maple29,2,EA_bcrseeds
2401.1730000000002,584203.3800000001,maple29,2,EA_bcrseeds
4983.682000000001,1326499.9139999999,maple29,2,EA_bcrseeds
5362.090999999999,1442452.081,maple29,2,EA_bcrseeds
6905.888999999997,1946260.6569999994,maple29,2,EA_bcrseeds
12103.535999999998,4751603.394000002,maple29,2,EA_bcrseeds
9794.195999999996,3006795.8559999997,maple29,2,EA_bcrseeds
3270.650000000001,821878.0310000001,maple29,2,EA_bcrseeds
4716.3330000000005,1256544.4700000002,maple29,2,EA_bcrseeds
1404.3689999999997,349797.57399999996,maple29,2,EA_bcrseeds
3614.247,920281.1969999998,maple29,2,EA_bcrseeds
13154.132000000001,5580576.7100000065,maple29,2,EA_bcrseeds
495.33000000000004,89922.74600000001,maple29,2,EA_bcrseeds
7643.1050000000005,2223657.935,maple29,2,EA_bcrseeds
13968.639999999998,6483016.262000004,maple29,2,EA_bcrseeds
12903.795999999998,5193941.623000005,maple29,2,EA_bcrseeds
3212.914000000001,788537.0280000002,maple29,2,EA_bcrseeds
13143.136999999997,5394658.767000007,maple29,2,EA_bcrseeds
13076.118999999997,5353305.534000007,maple29,2,EA_bcrseeds
3681.355000000001,942667.377,maple29,2,EA_bcrseeds
10048.212999999994,3128905.3989999997,maple29,2,EA_bcrseeds
1312.1559999999997,324096.388,maple29,2,EA_bcrseeds
2115.49,538932.401,maple29,2,EA_bcrseeds
6378.552999999997,1805872.1299999997,maple29,2,EA_bcrseeds
6631.597999999998,1854418.9699999997,maple29,2,EA_bcrseeds
12890.374999999998,5180437.667000005,maple29,2,EA_bcrseeds
9544.031999999996,2883821.4379999996,maple29,2,EA_bcrseeds
