Subbasin,Qtnout,QtnoutriverMCrouted
19,0.1303109802548985,0.0
19,0.11881295250770144,0.0
19,0.10731492476050444,0.0
19,0.09964957318046866,0.0
19,0.0919842212232895,0.0
19,0.08815154543327164,0.0
19,0.08048619347609248,0.0
19,0.07665351768607462,0.0
19,0.07282084189605671,0.0
19,0.06898816610603882,0.0
19,0.06515548993887757,0.0
19,0.06132281414885968,0.0
19,0.06132281414885968,0.0
19,0.0574901383588418,0.0
19,0.05365746256882391,0.0
19,0.05365746256882391,0.0
19,0.049824786401662643,0.0
19,0.04599211061164475,0.0
19,0.04599211061164475,0.0
19,0.04599211061164475,0.0
19,0.04215943482162687,0.0
19,0.04215943482162687,0.0
19,0.03832675903160898,0.0
19,0.03832675903160898,0.0
19,0.03449408286444773,0.0
19,0.03449408286444773,0.0
19,0.03449408286444773,0.0
19,0.03066140707442984,0.0
19,0.03066140707442984,0.0
19,0.03066140707442984,0.0
19,0.026828731284411954,0.0
19,0.026828731284411954,0.0
19,0.026828731284411954,0.0
19,0.02299605549439407,0.0
19,0.02299605549439407,0.0
19,0.02299605549439407,0.0
19,0.019163379327232805,0.0
19,0.019163379327232805,0.0
19,0.019163379327232805,0.0
19,0.019163379327232805,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.01533070353721492,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.011498027747197034,0.0
19,0.02299605549439407,0.0
19,0.06132281414885968,0.0
19,0.03066140707442984,0.0
19,0.4024309681347492,0.0
19,0.46375378228360875,0.0
19,1.0808146003165104,0.0
19,0.8163599640166954,0.0
19,0.6438895493173133,0.0
19,0.5174112448524327,0.0
19,0.4254270236291432,0.0
19,0.06898816610603882,0.0
19,0.3756022368503372,0.0
19,1.1881295250770147,0.0
19,2.3877570782783697,0.0
19,1.165133469959764,0.0
19,2.5908889000521818,0.0
19,2.096473710694143,0.0
19,1.8856765369631523,0.0
19,2.4835739752916774,0.0
19,1.9968241375136744,0.0
19,2.360928346993958,0.0
19,1.9393339991548326,0.0
19,0.9620016478088087,0.0
19,0.7742005291950684,0.0
19,0.6668856044345641,0.0
19,0.5978974383285253,0.0
