Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Sedrank,NEARrank,bcr
6558,14.344,7752.807,46,470.1103007,14342.63574,4.0,6.0,0.0018501685905504934
5915,17.535999999999998,8366.046,46,450.007927,17537.72656,3.0,5.0,0.0020960917499138775
5913,88.05799999999998,26954.195,46,804.8125553,88334.51563,2.0,11.0,0.003266949727120397
6563,400.697,82553.37,46,496.1936821000001,404067.5,1.0,8.0,0.004853793370276707
5075,9.999,1749.938,63,0.0,9117.501953,1.0,1.0,0.005713916721620994
72,51.927,64992.772,71,0.0,77920.96094,1.0,1.0,0.0007989657680703325
1621,5.67,6427.308000000001,86,630.7214277,5305.416504,5.0,4.0,0.0008821733764742563
1620,5.697,6844.946,86,910.4134638,5330.285645,4.0,5.0,0.0008322929063282603
1330,7.572,12558.581,86,0.0,6045.481445,3.0,1.0,0.000602934360179705
1597,7.832000000000002,13102.02,86,440.095802,7329.53418,2.0,3.0,0.0005977704201336894
1397,14.696,14969.4,86,341.8030402,11741.82813,1.0,2.0,0.0009817360749261829
6490,3.654,731.185,88,356.0737587,3809.611328,1.0,1.0,0.00499736728734862
10274,3.449,10712.005,97,460.8750605,3709.68042,1.0,1.0,0.00032197520445518835
5201,3.459,912.788,101,0.0,4755.7973630000015,1.0,1.0,0.0037894889065149847
12146,4.868,10978.699,113,19.55793904,3255.191406,4.0,2.0,0.0004434040864040448
12144,5.225,5819.524,113,197.3577756,4269.873535,3.0,3.0,0.0008978397545916125
12581,11.338,6723.3809999999985,113,306.41869489999993,8979.136719,2.0,4.0,0.0016863539341292724
12582,19.768,9943.149,113,0.0,16441.10547,1.0,1.0,0.001988102561874513
4395,4.325,976.015,115,0.0,5085.22168,4.0,1.0,0.004431284355260934
4396,31.89,26954.054,115,530.5758466,36231.91797,3.0,3.0,0.0011831244383497933
4394,97.439,41410.871,115,303.9089787,111554.625,2.0,2.0,0.002352981177333845
4141,160.127,50122.731,115,819.7994229,182995.9688,1.0,4.0,0.0031946982298310922
75,339.1930000000001,668983.082,121,0.0,517987.0625,1.0,1.0,0.0005070277696499358
317,208.478,154267.025,127,0.0,284969.4063,1.0,1.0,0.0013514099983454016
13331,5.44,6112.210999999998,134,1366.749279,4134.174316,8.0,7.0,0.0008900216304705452
12605,5.544,11604.642,134,818.5534849,4247.84082,7.0,4.0,0.00047773985617134934
12589,8.504,1369.279,134,0.0,7134.198242,6.0,1.0,0.0062105677513494325
13328,13.181,8171.6709999999985,134,822.4742539,11789.35059,5.0,5.0,0.0016130115860024225
12604,14.432,8474.668,134,1047.958221,12915.6123,4.0,6.0,0.001702957567187293
12590,20.916,18751.124,134,261.085892,19239.52148,3.0,2.0,0.0011154531323028956
13333,21.175,3730.22,134,1571.747372,19435.14258,2.0,8.0,0.005676608886339144
13301,26.343000000000004,20048.183,134,448.255734,24544.63281,1.0,3.0,0.0013139844144479328
11522,3.575,5881.345,135,584.273194,4591.973145,2.0,2.0,0.000607854155809598
11525,4.189,6107.693,135,395.0394207,5771.287598,1.0,1.0,0.0006858563454319004
3616,27.992,4946.479,138,144.33031730000005,25772.07617,1.0,1.0,0.0056589747980331055
10382,8.281,11161.136,139,616.5904144,6049.7348630000015,5.0,4.0,0.0007419495649905171
10375,17.276,12647.087,139,599.0859975999998,13791.81836,4.0,3.0,0.0013660062589907068
10372,21.413,3004.202,139,58.92492249,15652.4541,3.0,2.0,0.007127683158456056
10384,161.381,32273.712000000003,139,756.5410644,116050.1875,2.0,5.0,0.005000385453027528
10374,174.62099999999995,34154.326,139,0.0,125848.5391,1.0,1.0,0.005112705195822045
10379,4.136,10579.774,140,545.8745864,3020.732178,1.0,1.0,0.00039093462676991023
303,4.964,11612.137,141,50.44497965,5992.440918,1.0,1.0,0.00042748376117160864
18109,5.1389999999999985,792.998,142,430.1279096,4131.668457,6.0,4.0,0.00648047031644468
18110,10.092,1787.033,142,357.48976,9310.775391,5.0,3.0,0.005647349545307782
18112,23.622,4502.459,142,335.6837467,23458.64844,4.0,2.0,0.005246466430899204
18108,28.864,5553.289000000002,142,975.2747856,28933.67188,3.0,6.0,0.005197640533384809
18076,33.74,6533.613,142,306.1392481000001,34041.33984,2.0,1.0,0.005164064660701514
18107,53.855,10572.185,142,543.908918,55083.05469,1.0,5.0,0.005094027393580418
3857,8.418,1543.763,144,126.3045787,8043.293945,3.0,2.0,0.005452909546348759
3846,47.135,22726.036,144,0.0,45147.32813,2.0,1.0,0.00207405286166052
3842,58.787,30814.853,144,705.2138813999999,56347.39844,1.0,3.0,0.0019077488378737358
7466,2.9760000000000004,10656.248,148,248.538939,3419.175781000001,10.0,4.0,0.00027927277968755986
7469,3.37,658.1389999999999,148,573.4586320000002,3429.028320000001,9.0,6.0,0.005120498861182821
7471,3.537,5779.916,148,177.28966709999997,4063.507813,8.0,2.0,0.000611946609604707
8761,6.931,6523.964,148,1002.497591,7940.137206999999,7.0,10.0,0.0010623909022183446
8753,8.611,6899.241999999998,148,878.1183687000001,9895.40625,6.0,8.0,0.0012481081255013237
7470,9.003,1868.603,148,148.77550180000003,9735.770508,5.0,1.0,0.004818037860369485
8182,18.73,13659.89,148,889.0011356000001,19068.71094,4.0,9.0,0.001371167703400247
7465,28.95,11390.048,148,222.9033454,33293.33984,3.0,3.0,0.0025416925372044085
8758,38.502,18476.236,148,638.4658225,44162.76953,2.0,7.0,0.002083865999546661
8783,41.973,14241.423,148,434.9020612,48149.53516,1.0,5.0,0.0029472476170393927
7409,7.19,6310.689,149,370.7905674,6828.932617,5.0,3.0,0.001139336766555918
7418,9.44,1721.119,149,155.43853719999996,8967.350586,4.0,2.0,0.005484803781725726
7997,15.571,2839.428,149,1167.160375,14793.951169999998,3.0,5.0,0.005483850972801564
11338,59.275,16143.339,149,876.6303919,58058.87109,2.0,4.0,0.0036717930534692976
7419,177.732,37847.503,149,0.0,171141.6094,1.0,1.0,0.0046960033268244935
8074,3.406,5598.679,150,253.891673,3119.228516,20.0,2.0,0.0006083577929722351
8075,3.621,636.5219999999998,150,1322.137072,3316.397705,19.0,16.0,0.005688727176751159
7460,4.513,752.2760000000002,150,212.9221,3919.5,18.0,1.0,0.005999127979624498
8754,4.9030000000000005,6081.138000000001,150,1056.282997,5632.928711,17.0,13.0,0.0008062635644841475
8757,5.017,5906.676,150,537.4205403,4723.948731,16.0,4.0,0.0008493778903735366
7837,5.2,5866.889,150,614.1001571,4516.650879,15.0,8.0,0.0008863300464692617
8759,6.658,11170.443,150,637.1816396,6098.227051,14.0,9.0,0.0005960372386305539
8765,7.227,6589.210999999998,150,1571.017968,8280.086914,13.0,20.0,0.0010967929240693615
8756,9.503,6717.599,150,542.0746993,8949.009766,12.0,5.0,0.0014146423446829738
8723,21.11,13713.493,150,1504.152164,19347.99023,11.0,19.0,0.0015393598115374398
7839,24.671,14340.605,150,553.7979638999999,22615.36133,10.0,6.0,0.0017203597756161612
8760,27.815,11121.126,150,727.8673067000002,31892.20508,9.0,10.0,0.0025010956624356203
7467,28.768,15202.873,150,592.7292441000002,27107.93555,8.0,7.0,0.0018922739142792288
8766,34.458,12584.813,150,1427.700147,39518.28906,7.0,17.0,0.0027380621388653132
8726,35.416,16233.981000000002,150,830.2373819000002,32480.20117,6.0,11.0,0.00218159673834779
8076,40.165,7071.376,150,834.1465527,36843.1875,5.0,12.0,0.00567994121653268
8755,46.168,18354.163,150,509.5943277,43526.74609,4.0,3.0,0.002515396643257445
8724,82.881,14617.83,150,1478.187292,76161.61719,3.0,18.0,0.005669856606623555
8729,115.099,30326.79,150,1251.352003,105906.3594,2.0,15.0,0.0037952912260084235
8767,121.383,31441.977000000006,150,1177.510038,111716.6953,1.0,14.0,0.0038605396855293157
2820,3.064,681.2330000000002,151,649.5223323,3549.353027,2.0,2.0,0.004497726915754227
2813,3.769,5843.06,151,91.43752047,3133.719971,1.0,1.0,0.0006450387297066947
3376,2.865,10598.633,152,635.5940779,3118.987549,9.0,6.0,0.00027031787967372775
3686,4.458,5597.884,152,964.7817715,3115.0864260000008,8.0,8.0,0.0007963723435498128
3683,6.09,5817.031999999998,152,675.8921073,4256.887207,7.0,7.0,0.0010469256486813209
3679,6.4060000000000015,859.443,152,34.51320349,4477.8588869999985,6.0,1.0,0.00745366475729048
3382,8.98,11205.083,152,312.353803,6278.708984000001,5.0,3.0,0.0008014219974988137
4354,10.52,2026.949,152,1027.889439,10560.78223,4.0,9.0,0.005190066449624534
3375,11.882,7486.5,152,498.4423283,12955.12988,3.0,5.0,0.0015871234889467708
3685,13.022,6748.545,152,468.58109860000013,9110.243164,2.0,4.0,0.001929601121426915
3688,13.022,7509.356,152,1226.570229,13074.21387,2.0,10.0,0.0017341034304406398
3381,17.000999999999998,12283.868,152,241.8585719,11899.37793,1.0,2.0,0.001384010313363836
3880,3.565,10579.783,153,112.4469723,3020.779053,3.0,1.0,0.00033696343299290734
3885,10.81,16759.145,153,135.3341689,9165.470703,2.0,2.0,0.0006450209721319315
3881,123.535,35320.355,153,312.8976206000001,105872.8359,1.0,3.0,0.0034975582776560423
149,5.024,16482.805,155,0.0,7725.687988,11.0,1.0,0.00030480248962479385
4248,6.687,6703.814,155,1032.41119,6044.510254,10.0,11.0,0.0009974918755204128
4918,6.885,1194.435,155,240.05366580000003,6223.226563,9.0,5.0,0.005764231624157028
4254,9.027,7300.523,155,174.64210569999997,8161.416015999999,8.0,3.0,0.0012364867558118781
4916,10.354,11796.869,155,226.9408517,9362.024414,7.0,4.0,0.0008776905126266977
4253,10.651,7133.805,155,898.4519338,11117.52344,6.0,10.0,0.0014930321196051756
4912,15.564,15054.15,155,515.7376631,14079.4043,5.0,8.0,0.0010338677374677416
4920,19.508,3388.12,155,299.0196061000001,17652.73828,4.0,6.0,0.005757765368404897
4913,25.617,4451.132000000001,155,26.30676592,23191.22656,3.0,2.0,0.005755165202919166
