ClusterID,Size,Sites,SedRed,AreaM2,SedRank,SedEps
3247,10,[15961 15963 15959 15955 15960 15956 15964 15965 15957 15445],"[  5.431   6.53   10.661  25.959  51.784  57.888  60.451  62.372 137.257
 203.179]","[  3946.386963   4968.720215   8810.874023  23042.62891   47080.39453
  52763.625     55150.9375    56939.97656  124529.6484   184968.9531  ]",[5 6 7 8 9],"[  0.      0.      0.      0.      0.     57.888  60.451  62.372 137.257
 203.179]"
3316,4,[14841 14840 14838 14113],[ 5.503  7.216 19.082 22.292],[ 3727.835938  5208.26709  15466.25879  18242.45117 ],[2 3],[ 0.     0.    19.082 22.292]
3594,1,[13058],[45.078],[39272.79297],[0],[0.]
3809,1,[15167],[5.908],[4337.208496],[0],[0.]
4100,2,[18195 18191],[ 4.973 19.384],[ 3494.792725 16801.75977 ],[1],[ 0.    19.384]
4124,1,[15505],[14.571],[12049.4668],[0],[0.]
4149,2,[14477 14479],[ 5.19  11.445],[3457.616455 8863.06543 ],[1],[ 0.    11.445]
4305,1,[15501],[99.204],[90994.78906],[0],[0.]
4418,5,[14842 15236 15234 15232 15233],[ 4.799  5.046  5.906 15.806 69.228],[ 3119.503906  3473.001953  4247.484375 12632.73145  60269.6875  ],[3 4],[ 0.     0.     5.906 15.806 69.228]
4469,1,[17614],[19.431],[17019.08203],[0],[0.]
4474,5,[14067 13085 13878 13876 13877],[  5.582   5.711   9.987  11.649 353.479],[  3810.276611   3921.909912   7630.575195   9072.49707  324064.2188  ],[3 4],[  0.      0.      9.987  11.649 353.479]
4692,1,[15171],[5.058],[3637.740234],[0],[0.]
4696,1,[10100],[40.395],[31192.66211],[0],[0.]
4723,5,[15216 14481 14480 15174 15175],[5.939 7.451 7.779 8.534 9.831],[4277.222168 5410.773438 5694.436523 6898.771484 8117.306641],[3 4],[0.    0.    7.779 8.534 9.831]
4845,1,[15440],[60.437],[52723.27344],[0],[0.]
5054,9,[17131 16457 17129 17132 16436 16455 16448 16456 17130],[  4.578   4.722   8.128  14.001  14.517  27.743  41.763  47.503 274.225],"[  3133.088379   3255.255127   6392.022461  11802.35547   12277.37988
  24465.06836   37476.69531   42682.16797  249216.3125  ]",[5 6 7 8],[  0.      0.      0.      0.     14.517  27.743  41.763  47.503 274.225]
5084,2,[18179 18176],[ 7.314 26.351],[ 5656.064453 23236.79883 ],[1],[ 0.    26.351]
5204,2,[15490 15489],[ 5.235 10.687],[3813.220459 8949.429688],[1],[ 0.    10.687]
5240,4,[13074 13072 13082 13081],[10.644 15.117 47.655 72.193],[ 8780.387695 12934.98438  40353.90625  60688.13281 ],[2 3],[ 0.     0.    47.655 72.193]
5299,4,[15498 15499 15496 15513],[ 5.563  6.682 13.701 16.807],[ 4081.685059  5125.420898 11673.45215  14062.70508 ],[2 3],[ 0.     0.    13.701 16.807]
5368,4,[16444 18174 18173 18177],[ 5.537  6.076  6.6   99.235],[ 4015.412842  4581.839356  5073.575684 89541.07031 ],[2 3],[ 0.     0.     6.6   99.235]
5372,1,[14824],[21.147],[17817.58984],[0],[0.]
5386,2,[10916 10917],[ 5.616 25.162],[ 3514.953857 19054.43164 ],[1],[ 0.    25.162]
5402,3,[19582 18156 18157],[ 5.978  9.324 28.691],[ 4411.103516  7491.517578 25331.58008 ],[2],[ 0.     9.324 28.691]
5441,4,[18159 18161 18160 18167],[ 32.514  63.278  69.835 126.939],[ 28930.72852  57367.58203  62334.89453 115199.0703 ],[2 3],[  0.      0.     69.835 126.939]
5490,1,[11586],[22.166],[18572.13867],[0],[0.]
5651,1,[12743],[11.825],[9410.239258],[0],[0.]
5850,1,[15123],[9.203],[7483.196289],[0],[0.]
6108,2,[9932 9937],[49.154 59.931],[38182.92188 53653.19922],[1],[ 0.    59.931]
6156,4,[10944 10946 11594 10945],[ 6.646  8.245 14.323 96.896],[ 4980.470703  6439.230957 11986.61816  86393.10938 ],[2 3],[ 0.     0.    14.323 96.896]
6282,1,[12503],[809.594],[742057.6875],[0],[0.]
6287,6,[17196 17199 17201 17200 17198 17197],[5.313 5.506 6.954 7.017 7.347 7.457],[3848.702637 3956.814941 5323.566895 5437.805176 5745.928223 5847.887207],[3 4 5],[0.    0.    0.    7.017 7.347 7.457]
6291,5,[15441 15442 15452 16451 15967],[ 40.777  45.747 158.382 213.986 262.281],[ 35208.39453  39634.10156 138163.4219  187021.5781  230506.0781 ],[3 4],[  0.      0.    158.382 213.986 262.281]
6524,1,[12583],[23.763],[19978.13867],[0],[0.]
7139,2,[11583 11454],[ 8.42  40.022],[ 5741.870117 34400.10156 ],[1],[ 0.    40.022]
7241,1,[18184],[569.362],[519843.0625],[0],[0.]
7300,3,[14719 14716 15431],[  8.287  14.606 101.003],[ 6628.151856 12527.84473  92165.96875 ],[2],[  0.     14.606 101.003]
7561,5,[17207 17206 17205 17203 17204],[ 4.511  5.533  6.171 10.863 15.343],[ 3068.178955  4053.632324  4648.999512  8932.694336 13069.81055 ],[3 4],[ 0.     0.     6.171 10.863 15.343]
7562,1,[15172],[10.591],[8837.15918],[0],[0.]
7606,1,[15506],[6.927],[5166.69043],[0],[0.]
7828,9,[15969 16433 16452 15962 15968 16434 15971 15970 16435],[  4.609   4.673   5.253   5.729   9.974  18.662  47.79   94.998 136.918],"[  3039.526123   3096.190186   3612.267822   4224.00293    8171.688477
  15530.22559   43362.05078   82505.39844  118932.9922  ]",[5 6 7 8],[  0.      0.      0.      0.      9.974  18.662  47.79   94.998 136.918]
8033,1,[13872],[6.359],[4573.915039],[0],[0.]
8051,1,[11597],[9.215],[7100.311035],[0],[0.]
8192,1,[17193],[11.195],[9334.814453],[0],[0.]
8238,3,[12504 13070 13071],[ 6.004  6.183 22.272],[ 4472.414063  4638.629883 19580.77734 ],[2],[ 0.     6.183 22.272]
8254,6,[10920 10919 10915 10625 10921 10918],[ 6.025  7.334 10.647 27.449 33.574 45.497],"[ 4201.692383  5608.504395  8631.792969 23970.44922  28156.00391
 38539.42969 ]",[3 4 5],[ 0.     0.     0.    27.449 33.574 45.497]
8277,2,[15502 15494],[5.487 5.653],[4038.093018 4193.942383],[1],[0.    5.653]
8317,3,[10102 10101 10111],[ 15.061  48.28  112.499],[11018.74023 37485.33594 88021.39844],[2],[  0.     48.28  112.499]
8338,2,[14839 15235],[ 4.901 10.881],[3208.238281 8726.626953],[1],[ 0.    10.881]
8516,15,"[17587 17578 17592 17588 17571 17577 17584 17594 17585 18439 17582 17591
 17589 17576 18128]","[ 4.674  5.134  6.093  6.706  7.701  9.607 10.468 10.783 11.106 11.183
 13.127 14.554 16.383 29.234 36.887]","[ 3210.150391  3633.006104  4515.727051  5080.638672  5996.5625
  7751.59668   8544.198242  8834.053711  9131.651367  9202.286133
 10992.55469  12307.09473  13991.41016  25829.00781  32880.58594 ]",[ 8  9 10 11 12 13 14],"[ 0.     0.     0.     0.     0.     0.     0.    10.783 11.106 11.183
 13.127 14.554 16.383 29.234 36.887]"
8779,8,[14755 14081 14754 14084 14756 14083 14085 14766],[  6.699   7.727  16.096  18.962  19.96   23.136  32.34  343.565],"[  4778.893555   5669.917969  12931.35156   15418.37793   16284.58691
  19042.39453   27037.85156  296414.0938  ]",[4 5 6 7],[  0.      0.      0.      0.     19.96   23.136  32.34  343.565]
8901,1,[15461],[7.583],[5682.365234],[0],[0.]
9035,2,[14098 14106],[21.396 29.75 ],[17467.79102 24697.03516],[1],[ 0.   29.75]
9090,1,[11529],[15.124],[12335.04492],[0],[0.]
9153,1,[13874],[6.731],[5147.666504],[0],[0.]
9192,4,[11562 10827 11532 11561],[ 5.699 11.568 32.596 44.421],[ 3992.444336  9187.163086 27815.73633  38301.88672 ],[2 3],[ 0.     0.    32.596 44.421]
9197,1,[10913],[7.71],[5178.081543],[0],[0.]
9231,1,[12018],[52.414],[44567.85547],[0],[0.]
9392,5,[15966 15954 15439 15443 15435],[  9.13   10.086  18.2   311.268 338.148],[  7415.666992   8307.828125  15884.72461  285931.1875   311186.5938  ],[3 4],[  0.      0.     18.2   311.268 338.148]
9571,1,[18180],[11.086],[9138.713867],[0],[0.]
9838,2,[15497 15487],[23.82  69.481],[21256.51953 63244.29297],[1],[ 0.    69.481]
9849,2,[12501 12499],[ 6.286 45.084],[ 4511.256348 38890.44531 ],[1],[ 0.    45.084]
9856,1,[15173],[14.068],[12135.16211],[0],[0.]
10300,1,[12020],[21.113],[17314.79883],[0],[0.]
10400,2,[15491 15492],[6.449 7.836],[4956.827637 6263.302734],[1],[0.    7.836]
10519,2,[15437 15434],[ 9.429 16.094],[ 7693.943359 13918.12695 ],[1],[ 0.    16.094]
10607,4,[14475 14474 14478 14476],[ 4.904  6.372 38.322 43.475],[ 3210.341797  4478.491699 32119.49609  36584.00781 ],[2 3],[ 0.     0.    38.322 43.475]
10726,2,[17187 17186],[ 5.24  12.801],[ 3712.53125 10833.14551],[1],[ 0.    12.801]
11305,4,[14770 14768 14717 14720],[  4.794   4.842   6.32  426.511],[  3367.208984   3412.366211   4791.688477 393184.2813  ],[2 3],[  0.      0.      6.32  426.511]
11519,10,[15519 16050 16045 16047 16052 15500 16049 16051 16046 16048],[ 4.632  5.455  5.571  5.98  10.905 12.628 22.455 36.423 38.205 77.387],"[ 3100.532715  3841.06958   4089.254639  4313.481445  8747.670898
 10671.71875  19151.19336  31739.82422  33347.02344  67639.38281 ]",[5 6 7 8 9],[ 0.     0.     0.     0.     0.    12.628 22.455 36.423 38.205 77.387]
