Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,11295,8.545,1309.402,4.281000000000001,11295,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,6822.227051000001,61400.04346,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1.0,Frequent,0.5,silty clay,5.0,Lura,0.28,0.28,0.0881601,0.08728839999999999,593.9103393999999,595.1237183,211,81,12485,302.3931273,GBER_CONUS_wet_poly,927.9582519999999,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11296,11.513,6837.927,5.07,11296,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,9575.944336,86183.49902,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.3128097,0.1274874,1197.8713380000002,1220.036255,310,77,12485,369.43537369999996,GBER_CONUS_wet_poly,603.9813843,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11299,14.706,7406.6759999999995,5.789,11299,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,12539.23242,112853.0918,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.1212816,0.42008809999999996,5274.206055,5264.234375,211,79,12485,378.3941841,GBER_CONUS_wet_poly,188.0558014,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11300,5.858,5831.015,3.3989999999999996,11300,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,4329.744140999999,38967.69727,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.1836929,0.24943769999999998,1070.8358150000001,1079.313843,211,79,920,344.4733733,GBER_CONUS_wet_poly,316.7124023,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11301,129.27100000000002,27734.921000000002,17.809,11301,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,118453.1719,1066078.547,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.1604924,0.3622498,42839.66016,42882.30078,211,78,12485,493.16189249999996,GBER_CONUS_wet_poly,215.32102969999997,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11526,7.375,11212.563999999998,4.051,11526,MAP,2,64,815,767,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,6317.686522999999,56859.17871,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.08759810000000001,0.0846373,527.8826904,534.3626709,310,77,954,134.87975219999998,NCED easement_GBERB,909.7646483999999,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11533,4.584,5659.732,2.9989999999999997,11533,MAP,2,64,819,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,3437.326904,30935.94214,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.0800742,0.1786949,564.4971924,613.8349609,310,77,540,1334.877856,NCED easement_GBERB,430.90200810000005,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11534,11.45,6826.745,5.004,11534,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,9517.680664,85659.12598,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.0676578,0.2431538,2324.063965,2312.766846,310,77,518,1563.012284,NCED easement_GBERB,316.67199710000006,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11535,3.258,5579.521,2.822,11535,MAP,2,64,818,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,3019.410889,27174.697999999997,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.0,clay,5.0,Beauford,0.28,0.28,0.2626895,0.4027909,1207.1641849999999,1215.4064939999998,311,86,518,1294.229771,NCED easement_GBERB,213.5102997,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
WCMO,11536,9.718,6657.095,4.76,11536,MAP,2,64,819,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,8633.773438,77703.96094,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.5,clay,5.0,Beauford,0.28,0.28,0.0630841,0.29149400000000003,2479.156982,2515.063477,310,77,540,1117.782384,NCED easement_GBERB,264.15634159999996,30,SB30,42632.621960000004,172528252.5,1,Y,MAP,25,0,23150.096680000002,0.044253205999999996,9.45,0.945,9.885,17.84,M70.11/2,0.02,0.035,14.84904511,1559.029319,0.499447176,0.964551706,0.999960807,-0.964512513,1,0.4330637
