f1,f2,prob,repl,algorithm
14065.447999999997,7986040.587000003,maple29,1,EA_bcrseeds
0.0,0.0,maple29,1,EA_bcrseeds
4915.586999999999,1294881.8300000003,maple29,1,EA_bcrseeds
13774.542999999996,7248239.099000002,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
13768.228999999996,6679426.132000005,maple29,1,EA_bcrseeds
5511.936999999998,1467680.5650000002,maple29,1,EA_bcrseeds
14059.769999999997,7964750.166000004,maple29,1,EA_bcrseeds
13988.562999999996,7499329.469000003,maple29,1,EA_bcrseeds
13988.562999999996,7499329.469000003,maple29,1,EA_bcrseeds
13988.562999999996,7499329.469000003,maple29,1,EA_bcrseeds
10965.614000000001,3622191.4499999993,maple29,1,EA_bcrseeds
10654.85,3333109.9979999987,maple29,1,EA_bcrseeds
10654.85,3333109.9979999987,maple29,1,EA_bcrseeds
5841.641999999999,1513981.8890000002,maple29,1,EA_bcrseeds
13300.101999999995,5970663.989000006,maple29,1,EA_bcrseeds
13568.533999999994,6449208.895000005,maple29,1,EA_bcrseeds
9941.273999999998,2997668.405999999,maple29,1,EA_bcrseeds
7646.325000000001,2145029.4390000007,maple29,1,EA_bcrseeds
11856.663999999997,4529044.935999999,maple29,1,EA_bcrseeds
12595.370999999997,5070482.621000004,maple29,1,EA_bcrseeds
8020.578000000001,2287228.942,maple29,1,EA_bcrseeds
1833.22,408587.01999999996,maple29,1,EA_bcrseeds
12353.430999999997,4855912.495000003,maple29,1,EA_bcrseeds
13423.326999999994,6416482.907000005,maple29,1,EA_bcrseeds
11526.55,4251917.744999999,maple29,1,EA_bcrseeds
3911.3469999999998,1003510.1470000002,maple29,1,EA_bcrseeds
9455.473999999995,2830482.1609999985,maple29,1,EA_bcrseeds
6246.595999999998,1633585.904,maple29,1,EA_bcrseeds
3347.188,813686.5940000003,maple29,1,EA_bcrseeds
12626.511999999997,5102931.530000004,maple29,1,EA_bcrseeds
13073.966999999995,5846074.9200000055,maple29,1,EA_bcrseeds
11654.492,4321194.588999998,maple29,1,EA_bcrseeds
3542.2070000000003,878382.2910000002,maple29,1,EA_bcrseeds
13733.440999999997,6668850.411000005,maple29,1,EA_bcrseeds
25.748,21437.522999999997,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8072.992,2295782.927,maple29,1,EA_bcrseeds
8434.083000000002,2402901.2490000003,maple29,1,EA_bcrseeds
3114.9170000000004,757947.659,maple29,1,EA_bcrseeds
10212.260999999999,3090122.345999999,maple29,1,EA_bcrseeds
13978.210999999996,7351338.957000003,maple29,1,EA_bcrseeds
11960.753999999997,4551035.385,maple29,1,EA_bcrseeds
2773.521,661816.5830000001,maple29,1,EA_bcrseeds
12630.242999999997,5390667.054000007,maple29,1,EA_bcrseeds
6776.092999999998,1885737.5099999995,maple29,1,EA_bcrseeds
4719.159,1201925.3000000005,maple29,1,EA_bcrseeds
12899.876999999999,5668518.615000006,maple29,1,EA_bcrseeds
12328.131999999998,4836180.676000003,maple29,1,EA_bcrseeds
423.338,78458.24900000001,maple29,1,EA_bcrseeds
10998.79,3635074.219999999,maple29,1,EA_bcrseeds
9695.123999999994,2915146.220999998,maple29,1,EA_bcrseeds
6573.984999999998,1750438.1409999996,maple29,1,EA_bcrseeds
11485.250999999998,4026214.2989999996,maple29,1,EA_bcrseeds
4410.969000000001,1131067.0940000003,maple29,1,EA_bcrseeds
7277.051,2032353.9940000002,maple29,1,EA_bcrseeds
6970.282999999998,1938785.5129999996,maple29,1,EA_bcrseeds
6970.282999999998,1938785.5129999996,maple29,1,EA_bcrseeds
7345.706000000001,2056373.9760000005,maple29,1,EA_bcrseeds
13337.135999999995,6202152.635000004,maple29,1,EA_bcrseeds
6426.621999999998,1709542.4439999997,maple29,1,EA_bcrseeds
7574.466,2128429.7990000006,maple29,1,EA_bcrseeds
11287.952999999998,3922284.0479999995,maple29,1,EA_bcrseeds
13125.103999999996,5880161.053000006,maple29,1,EA_bcrseeds
13337.135999999995,6202152.635000004,maple29,1,EA_bcrseeds
8551.053,2466842.0420000004,maple29,1,EA_bcrseeds
12088.662999999997,4720795.561000001,maple29,1,EA_bcrseeds
10351.145999999997,3255107.5329999984,maple29,1,EA_bcrseeds
10351.145999999997,3255107.5329999984,maple29,1,EA_bcrseeds
12065.639999999998,4702321.972,maple29,1,EA_bcrseeds
12808.215999999997,5636846.400000007,maple29,1,EA_bcrseeds
1530.6799999999998,355010.47500000003,maple29,1,EA_bcrseeds
1050.4720000000002,235294.26700000002,maple29,1,EA_bcrseeds
9649.376999999995,2883920.6489999983,maple29,1,EA_bcrseeds
13850.915999999996,7282117.048000004,maple29,1,EA_bcrseeds
11465.482999999998,4016271.1499999994,maple29,1,EA_bcrseeds
2143.432,526189.1440000001,maple29,1,EA_bcrseeds
4751.636999999999,1226882.2640000004,maple29,1,EA_bcrseeds
9225.425000000001,2758076.590999999,maple29,1,EA_bcrseeds
8899.649000000001,2618438.471,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
423.338,78458.24900000001,maple29,1,EA_bcrseeds
685.619,127699.67700000001,maple29,1,EA_bcrseeds
8674.994,2518268.255,maple29,1,EA_bcrseeds
8871.153000000002,2602192.6029999997,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
4173.628,1052751.5750000004,maple29,1,EA_bcrseeds
4389.856000000001,1120861.2630000003,maple29,1,EA_bcrseeds
12778.996999999998,5468335.489000006,maple29,1,EA_bcrseeds
3126.112,759739.3060000001,maple29,1,EA_bcrseeds
1300.329,302841.46,maple29,1,EA_bcrseeds
3718.335,936972.5800000001,maple29,1,EA_bcrseeds
0.0,0.0,maple29,1,EA_noseeds
11420.204999999996,6190971.1120000025,maple29,1,EA_noseeds
8156.4950000000035,3034483.5039999993,maple29,1,EA_noseeds
6984.232000000004,2241978.9400000004,maple29,1,EA_noseeds
10624.732000000005,5522588.676000002,maple29,1,EA_noseeds
9177.867000000004,4018198.9769999995,maple29,1,EA_noseeds
9266.400000000003,4173638.768999999,maple29,1,EA_noseeds
9430.214000000002,4243233.827999998,maple29,1,EA_noseeds
7518.482000000004,2528806.676,maple29,1,EA_noseeds
4164.744,1114152.891,maple29,1,EA_noseeds
5443.4659999999985,1491732.4099999997,maple29,1,EA_noseeds
262.281,49241.428,maple29,1,EA_noseeds
9451.108000000002,4416371.977999998,maple29,1,EA_noseeds
7773.661000000001,2807605.6380000003,maple29,1,EA_noseeds
9782.639999999996,4606816.477999997,maple29,1,EA_noseeds
10856.491000000004,5764591.347000003,maple29,1,EA_noseeds
1731.9229999999998,412494.85,maple29,1,EA_noseeds
7892.756000000002,2890541.6539999996,maple29,1,EA_noseeds
6712.563000000003,2104701.191000001,maple29,1,EA_noseeds
8811.087000000005,3647331.683999999,maple29,1,EA_noseeds
9129.827000000003,3874386.993999999,maple29,1,EA_noseeds
5626.351,1581810.345,maple29,1,EA_noseeds
8730.227000000003,3553784.0169999977,maple29,1,EA_noseeds
8623.395000000004,3481647.325999998,maple29,1,EA_noseeds
8463.412000000002,3305669.840999999,maple29,1,EA_noseeds
7614.022000000002,2614386.3230000003,maple29,1,EA_noseeds
10329.627,5280662.425000001,maple29,1,EA_noseeds
10148.199999999999,5018342.871999999,maple29,1,EA_noseeds
9671.579999999996,4528944.543999998,maple29,1,EA_noseeds
4888.688999999998,1316903.2889999996,maple29,1,EA_noseeds
1175.709,224141.581,maple29,1,EA_noseeds
1449.6650000000002,319777.857,maple29,1,EA_noseeds
6188.492000000001,1760449.7380000001,maple29,1,EA_noseeds
10062.666,4841392.113999999,maple29,1,EA_noseeds
9969.454999999996,4657141.730999997,maple29,1,EA_noseeds
9549.248999999998,4482917.764999999,maple29,1,EA_noseeds
10701.511999999997,5711773.129000005,maple29,1,EA_noseeds
2043.1909999999998,472374.114,maple29,1,EA_noseeds
7409.345000000003,2392968.8590000006,maple29,1,EA_noseeds
10062.666,4841392.113999999,maple29,1,EA_noseeds
5262.424999999998,1442193.2750000001,maple29,1,EA_noseeds
2271.875,564584.693,maple29,1,EA_noseeds
4421.296,1189305.976,maple29,1,EA_noseeds
5014.600999999999,1364710.6,maple29,1,EA_noseeds
2570.527,612762.6410000001,maple29,1,EA_noseeds
11085.299999999996,5997840.222000003,maple29,1,EA_noseeds
3502.4649999999997,943132.696,maple29,1,EA_noseeds
11041.023000000003,5840276.779000003,maple29,1,EA_noseeds
2065.216,476121.565,maple29,1,EA_noseeds
10176.223999999998,5034607.370999999,maple29,1,EA_noseeds
4034.1650000000004,1072944.734,maple29,1,EA_noseeds
0.0,0.0,maple29,1,EA_noseeds
428.552,89169.75300000001,maple29,1,EA_noseeds
11104.730999999996,6013401.219000003,maple29,1,EA_noseeds
4749.803999999999,1258770.722,maple29,1,EA_noseeds
922.329,179389.33000000002,maple29,1,EA_noseeds
1175.709,224141.581,maple29,1,EA_noseeds
1471.2220000000002,328387.81000000006,maple29,1,EA_noseeds
2259.259,552883.377,maple29,1,EA_noseeds
6095.755,1717909.92,maple29,1,EA_noseeds
922.329,179389.33000000002,maple29,1,EA_noseeds
685.619,127699.67700000001,maple29,1,EA_noseeds
685.619,127699.67700000001,maple29,1,EA_noseeds
8934.015000000005,3719245.5709999986,maple29,1,EA_noseeds
11265.086999999996,6087887.2940000035,maple29,1,EA_noseeds
5821.228,1645960.419,maple29,1,EA_noseeds
11014.873000000003,5831153.258000003,maple29,1,EA_noseeds
11276.424999999996,6096712.929000003,maple29,1,EA_noseeds
11401.406999999996,6187700.582000003,maple29,1,EA_noseeds
3315.0800000000004,872652.449,maple29,1,EA_noseeds
10500.646000000006,5443030.828000003,maple29,1,EA_noseeds
5735.827,1604526.075,maple29,1,EA_noseeds
6580.519000000001,2019050.5330000005,maple29,1,EA_noseeds
3136.2580000000003,836089.8089999999,maple29,1,EA_noseeds
2961.601,765219.976,maple29,1,EA_noseeds
10291.607999999998,5150552.275999998,maple29,1,EA_noseeds
