Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2
12146,4.868,10978.699,113,19.55793904,3255.191406
12581,11.338,6723.3809999999985,113,306.41869489999993,8979.136719
12582,19.768,9943.149,113,0.0,16441.10547
15432,256.111,80733.59,168,0.0,235262.6875
17194,125.098,41998.275,384,0.0,114615.1094
16464,5.048,5666.975,433,801.8526118,3475.065186
16057,5.742000000000001,11232.604,433,940.4545078,4099.6879880000015
16460,6.461,16427.306,433,805.0577252999999,4747.274902
16483,8.728,6302.719,433,0.0,6787.409668000001
16475,9.032,6355.2959999999985,433,163.0131695,7061.344238
16472,9.692,6469.401999999999,433,188.1465589,7655.858398
16471,13.533,7133.219,433,5.277040734,11114.46582
16482,16.503,7646.526,433,500.5206395,13788.8916
16480,20.602,8355.199,433,277.503621,17481.21289
16476,20.812,8391.591,433,0.0,17670.82031
16060,24.609,9048.144,433,1022.989154,21091.58398
17209,28.405,9704.787,433,62.36237295,24512.81445
16466,30.221,17861.835,433,265.9700598,26148.77148
16463,50.596,22671.075,433,1138.972573,44523.01172
16465,53.788,24252.087000000003,433,329.6140767,47403.0
16056,606.4209999999998,114346.462,433,1480.94835,543664.5
17212,18.738,8142.354,438,369.3914062,16372.24707
10621,34.624,5103.602,471,0.0,26590.7168
9938,76.271,12958.165,471,772.5552753,67514.45313
10623,90.639,20482.01,471,465.7037253,80664.15625
10624,105.727,23134.016,471,1134.877598,94481.60156
10622,423.338,78458.24900000001,471,407.1943249,382731.1563
14450,7.1370000000000005,6019.053000000001,488,205.010643,5309.455566
14811,78.602,13157.069,488,362.5320713,68550.78125
15454,95.963,44470.731,488,1009.367742,84201.4375
18147,4.609,606.849,498,1130.064622,3161.794678
18149,10.046,1565.428,498,31.09670423,8156.17041
17610,10.23,6597.937,498,810.470566,8325.547852
18152,11.991,11909.294,498,0.0,9947.779297
17602,22.874,3833.253,498,797.7052982000001,19971.96289
18516,33.843,15773.062,498,107.8685137,30078.72852
15464,5.755,6225.491999999998,504,139.9663879,4076.035889
16441,17.77,12669.136,504,85.57438829,14802.12988
15463,43.687,24669.409,504,220.4386311,37963.74609
18175,111.515,24652.063,507,135.58019040000002,102390.9063
17190,218.518,48592.724,507,119.3421198,201075.2813
18178,378.109,109752.923,507,0.0,350507.0
13938,7.822,11100.066,516,816.0574276000001,5731.549805
13939,84.602,18675.633,516,439.1225361000001,71252.59375
14483,5.114,5650.991,526,358.94419460000006,3391.78418
14482,11.396,6692.963000000002,526,183.695901,8820.654297
14099,527.336,140388.527,526,0.0,458152.9063
13135,6.372000000000001,5880.081,527,22.06334004,4585.386231
13140,7.725,11607.372,527,171.8209736,5647.9057619999985
13069,13.152,8182.351,527,15.89146589,10584.62402
13137,60.909,19923.582,527,178.6329446,51703.71094
18131,5.0310000000000015,6063.718000000002,529,854.1687129000002,3537.966065
18137,11.338,8825.635,529,551.7607077,9344.853516
18442,22.477,26551.531000000006,529,695.5344002999999,19604.10742
18130,25.012,26014.717,529,1058.799511,21939.54883
18441,85.81299999999997,58210.648,529,900.1311355,76911.03906
16442,5.438,727.928,530,357.9537581,3792.63794
16453,5.4620000000000015,732.07,530,160.74410980000005,3814.219971
16450,6.471,904.825,530,487.25849360000007,4714.308106
16443,7.396,1063.358,530,484.3277159,5540.291992
16445,8.037,1173.19,530,606.3800091,6112.540039
16454,81.872,26282.2,530,1216.80256,70785.42969
16449,592.169,564348.154,530,0.0,526821.5
16458,1347.437,1270662.553,530,43.75533844,1214686.375
14079,5.77,5762.5819999999985,574,1060.322593,3973.192383
13083,25.058000000000003,8975.132,574,797.5744672000002,20711.17578
14070,27.726,9419.872,574,967.1021174,23028.35547
14760,43.483,12048.693,574,545.2517740000002,36725.00391
14077,53.54600000000001,13729.045,574,237.4628411,45479.94922
14069,104.09,21990.449,574,698.6887326,88523.40625
16067,8.899,6332.2959999999985,575,1479.305603,6941.508789
16065,10.474,6604.464,575,1687.590773,8359.553711
16062,14.804,7352.975,575,2166.525517,12259.43555
16061,20.034,8256.979,575,2245.105391,16969.4668
16068,24.253,8986.608,575,1531.080776,20770.9707
16070,111.538,23908.792,575,992.1300131,98518.32813
18514,4.578,5938.518,579,1275.256755,3121.549072
17593,4.8889999999999985,6024.651,579,1613.981497,3408.028809000001
18515,7.232,1068.122,579,368.2017188,5565.112305
17603,8.13,6921.664000000002,579,1372.674263,6391.529785
18520,14.188,7297.695,579,259.1435414,11971.41895
18518,25.748,21437.523,579,0.0,22619.85742
17604,29.739,15764.559,579,1578.709255,26294.51953
15238,5.127999999999999,5680.786999999998,584,371.4609012,3547.0268560000004
15215,5.386,725.2810000000002,584,285.7519963,3778.850342
15518,5.7860000000000005,5794.507,584,2365.000392000001,4139.53125
15509,9.947,1513.447,584,1234.038039,7885.339844
15510,11.234000000000002,6735.7840000000015,584,1036.153711,9043.759766
15512,11.318,6750.365,584,1271.817453,9119.729492
15514,17.041,7739.595,584,1580.62695,14273.79785
15508,26.728,9414.726,584,1327.138522,23001.54492
15517,26.944000000000006,9451.951,584,2567.635413,23195.49219
15507,31.019,10156.827,584,1732.15776,26868.03125
15240,32.378,10392.072,584,2011.249701,28093.70117
15516,34.024,10676.822,584,1921.243852,29577.29883
15515,42.444,17134.057,584,978.4586277,37169.76563
15511,46.539,17842.894,584,505.4547069,40862.9375
17188,5.346,731.2239999999998,647,221.2217303,3809.812256
15230,8.633,6234.5459999999985,675,932.547942,6432.216309
15229,19.211,7989.825,675,319.9388956,15577.54297
14484,30.247,14822.687,675,382.6355434,25127.09766
15231,88.601,19343.182,675,381.0571697,74730.64844
17189,5.502999999999999,11188.662,677,210.5049484,3953.537109
17191,11.394,11794.951,677,348.08475310000006,9352.03125
14075,5.053,5643.217,691,855.0765142000001,3351.282715
14074,5.683,5748.161,691,916.2417102,3898.060303
14082,5.9510000000000005,5792.644,691,862.7263042000003,4129.823242
14078,6.292999999999998,5879.646,691,286.3238381,4583.120117
14808,7.4529999999999985,1079.528,691,141.3454465,5624.542969
14073,9.041,6307.115,691,1235.425265,6810.314941
15453,9.154,6372.587,691,977.167305,7151.432617
14076,9.483,6489.955,691,683.4277722999999,7762.942870999998
14086,18.719,3021.238,691,1086.719215,15741.21387
14810,66.411,34005.328,691,78.6747553,58637.66406
14087,69.35600000000001,34653.407,691,645.1585719999998,60220.72266
14080,346.08,62320.21599999999,691,865.4218331000002,298649.0
18181,5.57,770.702,697,0.0,4015.501709000001
18183,5.805,811.9630000000002,697,377.1498598,4230.479492
18182,7.269,1069.432,697,12.07662953,5571.9384770000015
17192,38.799,6617.3809999999985,697,397.8458043,34477.78516
17195,39.354,19957.258,697,222.0284627,34987.33203
18185,57.726000000000006,9950.83,697,276.66886889999995,51845.67969
10922,54.964,13980.746,841,224.7506919,46791.35938
11831,6.0,817.2919999999998,876,705.0981519,4258.242676
11829,56.351000000000006,9383.45,876,509.0361569,48889.52344
