Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Sedrank,bcr,bcr_epis,SedRed_epis
13905,6.564,6471.819,170,697.1337103,5171.606934,24,0.001014243,0,0
13931,6.73,12011.053,170,935.609522,5330.674805,23,0.000560317,0,0
13930,6.857,12057.354,170,501.3009618,5453.405273,22,0.000568699,0,0
14502,7.375,6693.722,170,1344.551457,5951.316895,21,0.001101779,0.001101779,7.375
14505,7.504,6728.92,170,1304.606582,6074.995606,20,0.001115186,0.001115186,7.504
13897,7.587,6776.68,170,523.953548,6242.811523,19,0.001119575,0.001119575,7.587
13899,7.709,6785.098,170,392.5082001,6272.390625,18,0.001136166,0.001136166,7.709
13908,8.401,11974.479,170,376.8918514,6937.82959,17,0.000701575,0.000701575,8.401
14508,8.434,7004.112,170,1144.360071,7041.953125,16,0.00120415,0.00120415,8.434
13906,8.821,12089.563,170,181.5744013,7342.206543,15,0.000729638,0.000729638,8.821
13163,8.957,7157.083,170,1391.356597,7579.452637,14,0.001251488,0.001251488,8.957
13925,9.14,7926.871,170,499.3933809,7758.222656,13,0.00115304,0.00115304,9.14
13907,9.457,7263.753,170,801.8713407,7954.265137,12,0.001301944,0.001301944,9.457
14503,10.783,7626.794,170,644.198137,9229.900391,11,0.001413831,0.001413831,10.783
15176,10.874,12651.73,170,993.4063034,9317.519531,10,0.000859487,0.000859487,10.874
13898,10.884,9445.5,170,289.9017254,9460.022461,9,0.001152295,0.001152295,10.884
13912,14.659,9888.812,170,627.8171375,12958.71875,8,0.001482382,0.001482382,14.659
14501,15.51,8920.96,170,1029.083565,13777.2793,7,0.001738602,0.001738602,15.51
15178,16.966,15726.251,170,632.2822948,15178.50879,6,0.001078833,0.001078833,16.966
13909,32.167,13483.213,170,664.2272523,29807.90234,5,0.002385707,0.002385707,32.167
15182,52.145,18771.711,170,1183.652082,48390.37109,4,0.00277785,0.00277785,52.145
13913,57.597,30053.94,170,208.2940594,53156.75,3,0.001916454,0.001916454,57.597
14461,74.363,62181.548,170,1395.551434,69314.75781,2,0.001195901,0.001195901,74.363
15177,78.157,30767.568,170,477.5781509,72972.07813,1,0.00254024,0.00254024,78.157
13592,5.866,6271.005,220,428.6522331,4465.99707,3,0.000935416,0,0
13588,12.129,2004.934,220,364.0532562,10446.08105,2,0.006049576,0.006049576,12.129
15333,15.4,8861.863,220,896.9541764,13569.62793,1,0.001737784,0.001737784,15.4
15322,5.089,6082.084,222,378.911201,3802.176025,5,0.00083672,0,0
15324,12.12,8032.066,222,252.0780042,10653.92871,4,0.001508952,0,0
15373,37.675,17981.189,222,0,34409.08984,3,0.002095245,0.002095245,37.675
15327,39.063,18491.716,222,67.23273792,35762.33594,2,0.002112459,0.002112459,39.063
15319,50.366,18421.136,222,1001.833037,47158.53906,1,0.002734142,0.002734142,50.366
13439,6.213,16860.67,309,926.2657407,4932.056152,2,0.000368491,0,0
12735,26.744,19468.047,309,9.738341875,25096.84375,1,0.001373738,0.001373738,26.744
3559,5.243,714.182,328,34.42829629,3721.02124,1,0.007341266,0.007341266,5.243
17194,125.098,41998.275,384,0,114615.1094,1,0.002978646,0.002978646,125.098
11446,4.394,6219.191,416,436.7163499,6352.210449,1,0.000706523,0.000706523,4.394
12839,5.186,6102.987,431,288.6730503,3875.62207,1,0.000849748,0.000849748,5.186
16464,5.048,5666.975,433,801.8526118,3475.065186,16,0.000890775,0,0
16057,5.742,11232.604,433,940.4545078,4099.687988,15,0.00051119,0,0
16460,6.461,16427.306,433,805.0577253,4747.274902,14,0.000393309,0,0
16483,8.728,6302.719,433,0,6787.409668,13,0.001384799,0,0
16475,9.032,6355.296,433,163.0131695,7061.344238,12,0.001421177,0,0
16472,9.692,6469.402,433,188.1465589,7655.858398,11,0.001498129,0,0
16471,13.533,7133.219,433,5.277040734,11114.46582,10,0.00189718,0,0
16482,16.503,7646.526,433,500.5206395,13788.8916,9,0.002158235,0,0
16480,20.602,8355.199,433,277.503621,17481.21289,8,0.00246577,0.00246577,20.602
16476,20.812,8391.591,433,0,17670.82031,7,0.002480102,0.002480102,20.812
16060,24.609,9048.144,433,1022.989154,21091.58398,6,0.002719784,0.002719784,24.609
17209,28.405,9704.787,433,62.36237295,24512.81445,5,0.002926906,0.002926906,28.405
16466,30.221,17861.835,433,265.9700598,26148.77148,4,0.001691931,0.001691931,30.221
16463,50.596,22671.075,433,1138.972573,44523.01172,3,0.002231742,0.002231742,50.596
16465,53.788,24252.087,433,329.6140767,47403,2,0.002217871,0.002217871,53.788
16056,606.421,114346.462,433,1480.94835,543664.5,1,0.005303365,0.005303365,606.421
17212,18.738,8142.354,438,369.3914062,16372.24707,1,0.0023013,0.0023013,18.738
18095,3.052,612.353,445,408.7445765,3190.474854,6,0.004984053,0,0
18086,6.323,1023.892,445,0,5334.665527,5,0.006175456,0,0
18093,6.585,1076.202,445,377.8526857,5607.211426,4,0.00611874,0,0
18090,11.66,2088.238,445,161.5049614,10880.10742,3,0.005583655,0.005583655,11.66
18092,15.174,2788.929,445,90.69606899,14530.83984,2,0.005440798,0.005440798,15.174
18088,179.191,35075.24,445,104.5738196,182748.5313,1,0.00510876,0.00510876,179.191
12732,10.577,8720.658,467,453.1717097,9088.427734,3,0.001212867,0,0
13584,10.935,1810.886,467,287.3015375,9435.050781,2,0.006038481,0.006038481,10.935
12730,16.47,7839.203,467,510.4998518,14792.77734,1,0.002100979,0.002100979,16.47
10628,5.895,5913.737,471,1385.192193,4760.73877,7,0.000996832,0,0
10630,8.543,6427.746,471,1414.742714,7438.820313,6,0.001329082,0,0
10621,34.624,5103.602,471,0,26590.7168,5,0.006784228,0,0
9938,76.271,12958.165,471,772.5552753,67514.45313,4,0.005885941,0.005885941,76.271
10623,90.639,20482.01,471,465.7037253,80664.15625,3,0.004425298,0.004425298,90.639
10624,105.727,23134.016,471,1134.877598,94481.60156,2,0.004570197,0.004570197,105.727
10622,423.338,78458.249,471,407.1943249,382731.1563,1,0.005395711,0.005395711,423.338
14450,7.137,6019.053,488,205.010643,5309.455566,3,0.001185735,0,0
14811,78.602,13157.069,488,362.5320713,68550.78125,2,0.005974127,0.005974127,78.602
15454,95.963,44470.731,488,1009.367742,84201.4375,1,0.002157891,0.002157891,95.963
12840,17.502,10966.029,492,229.9406951,15814.08594,1,0.00159602,0.00159602,17.502
16320,3.039,5607.278,493,451.7488477,3164.033936,18,0.000541974,0,0
16328,5.812,909.995,493,617.1700077,4741.241699,17,0.006386848,0,0
16316,5.849,931.569,493,727.584454,4853.649902,16,0.006278655,0,0
16323,6.567,6075.198,493,650.1241766,5601.983887,15,0.001080952,0,0
16325,7.61,1283.586,493,14.24604427,6687.723633,14,0.005928703,0,0
16330,8.079,6358.71,493,301.225184,7079.130859,13,0.001270541,0,0
16317,8.197,1400.838,493,716.7813666,7298.625488,12,0.005851497,0,0
16331,8.776,1516.605,493,41.38279997,7901.796387,11,0.005786609,0,0
16318,9.395,6618.204,493,653.5340414,8431.144531,10,0.001419569,0,0
15905,11.198,12952.173,493,820.2780723,10373.2041,9,0.000864565,0.000864565,11.198
16319,11.259,2012.798,493,522.4066737,10487.05371,8,0.005593706,0.005593706,11.259
16334,13.004,2361.63,493,670.118003,12304.53223,7,0.005506366,0.005506366,13.004
16314,13.42,13778.345,493,833.6207417,12566.92285,6,0.000973992,0.000973992,13.42
16308,16.356,11451.537,493,1158.144273,15759.12891,5,0.00142828,0.00142828,16.356
16324,18.971,3554.34,493,200.0241826,18518.77344,4,0.005337418,0.005337418,18.971
