Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth,SUBID,SBi,SBarea_ac,SBarea_m2,Zone_y,Headwater,River_y,ID_next,up_SBs,ReachLength_m,So_Slope,B_width_m,h_depth_m,Pwet_m,XSarea_m2,XS_ID_referenced,n,n_alternate,Ck,K_sec,X,C1,C2,C3,C1_C2_C3,K_hr
WCMO,6,3.013,6187.972,2.9210000000000003,6,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4415.786133,39742.0752,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.0646143,0.3582547,1683.0803219999998,1580.8491210000002,109,87,8072,539.9666384999999,GBER_CONUS_wet_poly,242.8440094,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,18,4.995,1405.286,3.758,18,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,7321.800293000001,65896.20264,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.8333333330000001,clay loam,5.0,Cordova,0.2666667,0.2666667,1.5679595,0.4424918,3333.290772,3237.519043,109,90,8072,64.2625389,GBER_CONUS_wet_poly,203.3936005,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,19,3.964,1115.2069999999999,3.3360000000000003,19,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,5810.437988000001,52293.941889999995,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0.0,None,1.8333333330000001,clay loam,5.0,Le Sueur,0.2666667,0.2666667,1.3239841,0.5959539,3620.419922,3460.2685549999997,114,90,3034,0.0,GBER_CONUS_wet_poly,151.0184021,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,51,21.465,6140.6359999999995,7.654,51,LES,2,3,5,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,31993.85742,287944.7168,Cultivated Crops,Not prime farmland,Excessively drained,Not Hydric,0.0,None,3.5,sandy loam,4.25,Hawick,0.1675,0.1675,0.40031609999999995,1.6150181000000001,51803.32031,51632.78125,392,56,7000,155.9583638,GBER_CONUS_wet_poly,34.6745338,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,56,11.405,3281.305,5.638999999999999,56,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,17096.20898,153865.8809,Hay/Pasture,Farmland of statewide importance,Well drained,Not Hydric,0.0,None,3.25,loam,5.0,Lester,0.28,0.28,0.3112177,0.8405944,14230.421880000002,14360.52344,109,80,6521,237.5639866,GBER_CONUS_wet_poly,95.1707535,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,57,2.84,816.702,2.8110000000000004,57,LES,2,3,6,17,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,4255.169434,38296.5249,Hay/Pasture,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,2.5,clay loam,5.0,Cordova,0.28,0.28,0.22986220000000002,1.2736061,5364.429199,5415.464844,109,84,10796,151.9212761,GBER_CONUS_wet_poly,65.9544601,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,58,2.872,807.794,2.833,58,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,4208.759765999999,37878.837889999995,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,1.0,clay loam,5.0,Cordova,0.28,0.28,0.9278985999999999,0.29679829999999996,1274.155273,1248.2539060000001,109,87,9302,561.5223913,GBER_CONUS_wet_poly,293.1283264,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,59,9.567,2692.4179999999997,5.212000000000001,59,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,14027.99902,126251.9912,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,3.125,clay loam,5.0,Hamel,0.215,0.215,0.13247260000000002,0.5972479,8224.104492,8372.22168,238C2,85,368,17.49773753,NCED easement_GBERB,142.319458,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,60,10.235,2880.305,5.372000000000001,60,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,15006.925780000001,135062.332,Cultivated Crops,Farmland of statewide importance,Well drained,Not Hydric,0.0,None,5.222222222,loam,5.0,Lester,0.2511111,0.2511111,1.0088540000000001,0.49932089999999996,7441.87793,7487.907227,109,80,8072,0.0,GBER_CONUS_wet_poly,160.21762080000002,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
WCMO,61,2.219,624.23,2.499,61,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,3252.354004,29271.186039999997,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1.0,None,0.75,clay loam,5.0,Cordova,0.28,0.28,0.42933140000000003,0.36816550000000003,1222.677612,1196.546021,109,86,8072,120.51518440000001,GBER_CONUS_wet_poly,233.5906219,9,SB9,55159.60457,223223197.4,2,Y,LES,10,0,23503.834759999998,0.059100695999999994,17.0,1.54,17.89,26.13,M85.68,0.02,0.035,14.9026345,1577.1597140000001,0.499668044,0.964146582,0.999976196,-0.964122778,1,0.438099921
