Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
14078,6.293,5879.646,691,286.3238381,4583.120117,12,9
14808,7.453,1079.528,691,141.3454465,5624.542969,12,8
14073,9.041,6307.115,691,1235.425265,6810.314941,12,7
15453,9.154,6372.587,691,977.167305,7151.432617,12,6
14076,9.483,6489.955,691,683.4277723,7762.942871,12,5
14086,18.719,3021.238,691,1086.719215,15741.21387,12,4
14810,66.411,34005.328,691,78.6747553,58637.66406,12,3
14087,69.356,34653.407,691,645.158572,60220.72266,12,2
14080,346.08,62320.216,691,865.4218331,298649,12,1
18181,5.57,770.702,697,0,4015.501709,6,6
18183,5.805,811.963,697,377.1498598,4230.479492,6,5
18182,7.269,1069.432,697,12.07662953,5571.938477,6,4
17192,38.799,6617.381,697,397.8458043,34477.78516,6,3
17195,39.354,19957.258,697,222.0284627,34987.33203,6,2
18185,57.726,9950.83,697,276.6688689,51845.67969,6,1
10922,54.964,13980.746,841,224.7506919,46791.35938,1,1
11831,6,817.292,876,705.0981519,4258.242676,2,2
11829,56.351,9383.45,876,509.0361569,48889.52344,2,1
10914,13.954,6946.033,899,368.2146056,10139.19434,1,1
11297,7.469,11066.895,920,152.0539455,5558.720703,1,1
12584,7.28,7206.182,1004,108.2393587,5389.027344,1,1
18158,4.714,636.168,1033,170.543467,3314.553711,4,4
17605,6.084,883.109,1033,342.4727831,4601.162598,4,3
18148,11.064,1752.003,1033,1394.140747,9128.263672,4,2
18163,12.555,17990.217,1033,774.1084049,10506.87891,4,1
15168,16.572,12713.095,1043,506.0372811,14135.72852,3,3
15166,23.507,8936.638,1043,0,20510.61523,3,2
14809,24.295,14075.594,1043,497.037432,21234.60352,3,1
16053,5.006,5683.567,1175,1183.701099,3561.513916,3,3
16054,7.243,11698.319,1175,839.0204861,5648.676758,3,2
16058,17.812,21127.651,1175,869.8397185,14967.97559,3,1
15958,12.714,7057.655,1344,1110.309564,10720.76367,4,4
